,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
0,Capital One,Data Scientist,76883,73000,125000,76883.0,5885.0,5885.0,3272.0
1,RBC,Data Scientist,90000,55000,135000,90000.0,12589.0,11983.0,3147.0
2,Scotiabank,Data Scientist,96176,74000,103000,96176.0,10051.0,10051.0,3327.0
3,TD,Data Scientist,79473,50000,129000,79473.0,6062.0,6062.0,2393.0
4,Banque Nationale du Canada/National Bank of Canada,Data Scientist,74945,71000,90000,74945.0,5045.0,5045.0,1536.0
5,Loblaw Companies,Data Scientist,90000,12000,107000,90000.0,9000.0,10008.0,5000.0
6,Shopify,Data Scientist,95489,85000,115000,95489.0,,,32840.0
7,Bell Canada,Data Scientist,80501,66000,108000,80501.0,11442.0,11442.0,
8,RBC,Data Scientist - Hourly Intern,56160,43680,62400,,,,
9,IBM,Data Scientist,85187,71000,87000,85187.0,509.0,509.0,
10,Rogers Communications,Data Scientist,91429,70000,121000,91429.0,16989.0,16989.0,18956.0
11,Deloitte,Data Scientist,70052,61000,90000,70052.0,6.0,6.0,
12,Boeing,Data Scientist,100253,74000,108000,100253.0,3147.0,3147.0,
13,Intact,Data Scientist - Hourly Intern,60320,45760,68640,,,,
14,Stradigi AI,Data Scientist,75110,70000,82000,75110.0,,,
15,Scotiabank,Data Scientist - Intern,63171,57000,82000,,,,
16,HSBC Holdings,Data Scientist - Hourly Intern,62400,62400,68640,,,,
17,Intact,Data Scientist,82500,76000,87000,29.0,,,
18,ATB Financial,Data Scientist,80872,70000,115000,80872.0,5000.0,5000.0,
19,AeroInfo Systems,Data Scientist,81545,79000,99000,81545.0,5981.0,5981.0,
20,CIBC,Data Scientist - Hourly Intern,56160,43680,62400,,,,
21,University of British Columbia,Data Scientist,76000,41000,80000,76000.0,,,
22,Shopify,Data Scientist - Hourly Intern,76960,64480,85280,,,,
23,Ericsson-Worldwide,Data Scientist,137112,67000,181000,137112.0,25.0,,25.0
24,LoyaltyOne,Data Scientist,92921,74000,97000,92921.0,11306.0,11306.0,
25,Aviva Canada,Data Scientist,97276,69000,115000,97276.0,16500.0,16500.0,
26,Thomson Reuters,Data Scientist - Hourly Intern,83200,72800,83200,,,,
27,Boston Consulting Group,Data Scientist,130000,100000,130000,130000.0,32500.0,32500.0,8000.0
28,Geotab,Data Scientist,80235,65000,95000,80235.0,,,
29,Precima,Data Scientist,80117,80000,85000,80117.0,4103.0,4103.0,
30,Scotiabank,Data Scientist - Hourly Intern,66560,58240,74880,,,,
31,CIBC,Data Scientist,88500,83000,94000,27.0,,,
32,IBM,Data Scientist - Hourly Intern,66560,62400,70720,,,,
33,IBM,Data Scientist - Monthly Intern,4500,4000,5000,,,,
34,TELUS,Data Scientist,101500,96000,107000,101500.0,101500.0,15000.0,
35,Deloitte,Data Scientist - Hourly Intern,49920,41600,58240,,,,
36,Deloitte,Data Scientist - Intern,60000,53000,67000,,,,
37,KPMG,Data Scientist,70500,67000,74000,71000.0,71000.0,,
38,Manulife,Data Scientist,84500,76000,93000,85000.0,85000.0,13500.0,4000.0
39,Bombardier,Data Scientist - Hourly Intern,41600,39520,43680,,,,
40,Canada Post,Data Scientist,97500,90000,105000,96500.0,96500.0,7500.0,
41,Electronic Arts,Data Scientist,114500,93000,136000,115000.0,115000.0,13500.0,75500.0
42,Ubisoft,Data Scientist,98000,72000,124000,98500.0,98500.0,9500.0,
43,CN,Data Scientist,89000,63000,115000,89000.0,89000.0,6500.0,
44,Capital One,Data Scientist - Hourly Intern,62400,52000,72800,,,,
