,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
0,First Derivatives,Data Scientist,,33060.0,40020.0,35518.62,,,
1,Deliveroo,Data Scientist,,66120.0,226200.0,110952.84,,,
2,Barclays,Data Scientist,,69600.0,133980.0,92635.86,5569.74,5569.74,
3,Lloyds Banking Group,Data Scientist,,34800.0,182700.0,103016.7,13907.82,13907.82,5258.28
4,THG,Data Scientist,,60900.0,88740.0,72545.81999999999,6270.96,6270.96,
5,NatWest Group,Data Scientist,,57420.0,168780.0,104111.16,3521.7599999999998,3521.7599999999998,
6,Tesco,Data Scientist,,74820.0,104400.0,84038.52,,,
7,QuantumBlack,Data Scientist,,88740.0,127020.0,107782.56,10420.86,10420.86,
8,J Sainsbury,Data Scientist,,55680.0,83520.0,72022.08,2293.32,2293.32,
9,PwC,Data Scientist,,46980.0,95700.0,76878.42,3535.68,3535.68,
10,HSBC Holdings,Data Scientist,,69600.0,121800.0,89441.22,8700.0,8700.0,
11,Vodafone,Data Scientist,,53940.0,116580.0,103340.34,10285.14,10285.14,
12,Capgemini,Data Scientist,,43500.0,109620.0,98282.16,,,
13,IQVIA,Data Scientist,,57420.0,133980.0,100152.66,11470.08,11470.08,
14,Facebook,Data Scientist,,118320.0,175740.0,147703.38,13373.64,13373.64,69344.22
15,Admiral Group,Data Scientist,,33060.0,52200.0,48780.9,1889.64,1889.64,4649.28
16,Mango Solutions,Data Scientist,,67860.0,87000.0,73969.14,1748.7,1748.7,
17,Faculty,Data Scientist,,88740.0,113100.0,104518.31999999999,,,
18,Deloitte,Data Scientist,,57420.0,73080.0,69472.98,353.21999999999997,353.21999999999997,
19,BBC,Data Scientist,,59160.0,90480.0,73351.44,,,
20,Unilever,Data Scientist,,66120.0,104400.0,69252.0,6250.08,6250.08,
21,BAE Systems Applied Intelligence,Data Scientist,,71340.0,93960.0,77316.9,5625.42,5625.42,826.5
22,Ocado Group,Data Scientist,,62640.0,78300.0,71675.81999999999,,,
23,easyJet,Data Scientist,,95700.0,104400.0,97262.52,9731.82,9731.82,
24,dunnhumby,Data Scientist,,71340.0,165300.0,93375.36,8437.26,8437.26,
25,iwoca,Data Scientist,,78300.0,125280.0,103636.14,,,
26,Peak (UK),Data Scientist,,52200.0,87000.0,58942.5,1733.04,1733.04,3453.9
27,Department for Work And Pensions,Data Scientist,,50460.0,97440.0,75392.46,870.0,870.0,
28,IBM,Data Scientist,,78300.0,90480.0,84360.42,,,
29,Capita,Data Scientist,,64380.0,80040.0,74344.98,,,
30,Santander,Data Scientist,,87000.0,144420.0,104535.72,5260.0199999999995,5260.0199999999995,12270.48
31,Centrica,Data Scientist,,69600.0,93960.0,79354.44,5510.58,5510.58,
32,TUI Group,Data Scientist,,50460.0,93960.0,73990.02,3483.48,3483.48,
33,Tesco Bank,Data Scientist,,74820.0,83520.0,81233.64,9651.78,9651.78,
34,Babylon Health,Data Scientist,,78300.0,130500.0,86752.92,,,
35,Moneysupermarket Group,Data Scientist,,53940.0,74820.0,66227.88,11052.48,11052.48,
36,King,Data Scientist,,76560.0,104400.0,89973.66,13276.2,12197.4,15231.96
37,Zopa,Data Scientist,,74820.0,104400.0,86681.58,,,
38,Toumetis,Data Scientist,,52200.0,106140.0,70405.62,,,
39,Pairview,Data Scientist,,60900.0,78300.0,,,,
40,Amazon,Data Scientist,,60900.0,174000.0,130726.2,,,
41,J.P. Morgan,Data Scientist,,43500.0,158340.0,,,,
42,BT,Data Scientist,,67860.0,97440.0,69600.0,1748.7,1748.7,
43,Sky,Data Scientist,,81780.0,127020.0,91266.48,7301.04,7301.04,
44,Bloomberg L.P.,Data Scientist,,88740.0,135720.0,121354.56,6947.82,6947.82,
45,Microsoft,Data Scientist,,90480.0,121800.0,97885.44,22858.38,22858.38,13443.24
46,Google,Data Scientist,,90480.0,130500.0,127568.1,27594.66,27594.66,78373.08
47,Aviva,Data Scientist,,43500.0,123540.0,52008.6,868.26,868.26,
48,AstraZeneca,Data Scientist,,73080.0,123540.0,88386.78,,,
49,Experian,Data Scientist,,106140.0,113100.0,107782.56,1795.68,1795.68,
50,McLaren Group,Data Scientist,,81780.0,90480.0,83443.44,3476.52,3476.52,
51,BGL Group,Data Scientist,,62640.0,95700.0,83711.4,4501.38,8371.14,633.36
52,IG,Data Scientist,,73080.0,95700.0,78367.86,7013.94,7013.94,
53,Elsevier,Data Scientist,,93960.0,172260.0,128518.14,13841.7,13841.7,16260.3
54,PlayStation,Data Scientist,,87000.0,1567740.0,90333.84,14454.18,14454.18,
55,Revolut,Data Scientist,,113100.0,135720.0,122252.4,,,17433.06
56,Funding Circle,Data Scientist,,78300.0,174000.0,87081.78,,,1492.92
57,Rank Group,Data Scientist,,48720.0,99180.0,83051.94,,,
58,carwow,Data Scientist,,88740.0,111360.0,90901.08,,,1762.62
59,Brandwatch,Data Scientist,,62640.0,80040.0,74106.6,,,
60,Black Swan Data,Data Scientist,,95700.0,118320.0,112997.34,,,
61,Tessella,Data Scientist,,53940.0,60900.0,54672.54,,,
62,Signal AI,Data Scientist,,81780.0,125280.0,84931.14,,,
63,LoopMe,Data Scientist,,69600.0,87000.0,69462.54,7998.78,7998.78,8708.7
64,Imagini Holdings,Data Scientist,,80040.0,113100.0,83377.31999999999,,,
65,Advizzo,Data Scientist,,67860.0,69600.0,68684.76,,,
66,causaLens,Data Scientist,,52200.0,69600.0,62930.58,,,
67,NHS,Data Scientist,,48720.0,67860.0,58290.0,58290.0,,
68,KPMG,Data Scientist,,83520.0,107880.0,96570.0,96570.0,1698.24,
69,ASDA,Data Scientist,,45240.0,59160.0,53070.0,53070.0,,
70,John Lewis & Partners,Data Scientist,,80040.0,87000.0,83520.0,83520.0,,
71,Deutsche Bank,Data Scientist,,106140.0,140940.0,122670.0,122670.0,8700.0,
72,Co-op,Data Scientist,,45240.0,50460.0,47850.0,47850.0,,
73,Royal Mail,Data Scientist,,80040.0,146160.0,112230.0,112230.0,1748.7,9570.0
74,Virgin Media,Data Scientist,,71340.0,104400.0,88740.0,88740.0,14790.0,
75,Communities & Local Government,Data Scientist,,46980.0,55680.0,52200.0,52200.0,,
76,Cisco Systems,Data Scientist,,73080.0,85260.0,79170.0,79170.0,14790.0,43500.0
77,BAE Systems UK,Data Scientist,,59160.0,125280.0,93090.0,93090.0,,
78,Shell,Data Scientist,,95700.0,144420.0,120060.0,120060.0,17400.0,
79,SSE,Data Scientist - Hourly Contractor,,206294.4,228009.6,,,,
80,Expedia Group,Data Scientist,,93960.0,118320.0,106140.0,106140.0,12180.0,12180.0
81,Facebook,Data Scientist - Monthly Intern,93960.0,6960.0,8700.0,,,,
82,EDF,Data Scientist,,59160.0,81780.0,70470.0,70470.0,,
83,University of Glasgow,Data Scientist,,53940.0,90480.0,72210.0,72210.0,,
84,Bank of England,Data Scientist,,106140.0,137460.0,120930.0,120930.0,,5220.0
85,Defence Science and Technology Laboratory,Data Scientist,,38280.0,60900.0,50460.0,50460.0,,
86,The British Library,Data Scientist,,55680.0,66120.0,60900.0,60900.0,,
87,Home Office,Data Scientist,,57420.0,67860.0,62640.0,62640.0,,
