,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
0,0,First Derivatives,35518.62,33060.0,40020.0,35518.62,,,,Data Scientist,UK
1,1,Deliveroo,110952.84,66120.0,226200.0,110952.84,,,,Data Scientist,UK
2,2,Barclays,92635.86,69600.0,133980.0,92635.86,5569.74,5569.74,,Data Scientist,UK
3,3,Lloyds Banking Group,103016.7,34800.0,182700.0,103016.7,13907.82,13907.82,5258.28,Data Scientist,UK
4,4,THG,72545.81999999999,60900.0,88740.0,72545.81999999999,6270.96,6270.96,,Data Scientist,UK
5,5,NatWest Group,104111.16,57420.0,168780.0,104111.16,3521.76,3521.76,,Data Scientist,UK
6,6,Tesco,84038.52,74820.0,104400.0,84038.52,,,,Data Scientist,UK
7,7,QuantumBlack,107782.56,88740.0,127020.0,107782.56,10420.86,10420.86,,Data Scientist,UK
8,8,J Sainsbury,72022.08,55680.0,83520.0,72022.08,2293.32,2293.32,,Data Scientist,UK
9,9,PwC,76878.42,46980.0,95700.0,76878.42,3535.68,3535.68,,Data Scientist,UK
10,10,HSBC Holdings,89441.22,69600.0,121800.0,89441.22,8700.0,8700.0,,Data Scientist,UK
11,11,Vodafone,103340.34,53940.0,116580.0,103340.34,10285.14,10285.14,,Data Scientist,UK
12,12,Capgemini,98282.16,43500.0,109620.0,98282.16,,,,Data Scientist,UK
13,13,IQVIA,100152.66,57420.0,133980.0,100152.66,11470.08,11470.08,,Data Scientist,UK
14,14,Facebook,147703.38,118320.0,175740.0,147703.38,13373.64,13373.64,69344.22,Data Scientist,UK
15,15,Admiral Group,48780.9,33060.0,52200.0,48780.9,1889.64,1889.64,4649.28,Data Scientist,UK
16,16,Mango Solutions,73969.14,67860.0,87000.0,73969.14,1748.7,1748.7,,Data Scientist,UK
17,17,Faculty,104518.32,88740.0,113100.0,104518.32,,,,Data Scientist,UK
18,18,Deloitte,69472.98,57420.0,73080.0,69472.98,353.22,353.22,,Data Scientist,UK
19,19,BBC,73351.44,59160.0,90480.0,73351.44,,,,Data Scientist,UK
20,20,Unilever,69252.0,66120.0,104400.0,69252.0,6250.08,6250.08,,Data Scientist,UK
21,21,BAE Systems Applied Intelligence,77316.9,71340.0,93960.0,77316.9,5625.42,5625.42,826.5,Data Scientist,UK
22,22,Ocado Group,71675.81999999999,62640.0,78300.0,71675.81999999999,,,,Data Scientist,UK
23,23,easyJet,97262.52,95700.0,104400.0,97262.52,9731.82,9731.82,,Data Scientist,UK
24,24,dunnhumby,93375.36,71340.0,165300.0,93375.36,8437.26,8437.26,,Data Scientist,UK
25,25,iwoca,103636.14,78300.0,125280.0,103636.14,,,,Data Scientist,UK
26,26,Peak (UK),58942.5,52200.0,87000.0,58942.5,1733.04,1733.04,3453.9,Data Scientist,UK
27,27,Department for Work And Pensions,75392.46,50460.0,97440.0,75392.46,870.0,870.0,,Data Scientist,UK
28,28,IBM,84360.42,78300.0,90480.0,84360.42,,,,Data Scientist,UK
29,29,Capita,74344.98,64380.0,80040.0,74344.98,,,,Data Scientist,UK
30,30,Santander,104535.72,87000.0,144420.0,104535.72,5260.02,5260.02,12270.48,Data Scientist,UK
31,31,Centrica,79354.44,69600.0,93960.0,79354.44,5510.58,5510.58,,Data Scientist,UK
32,32,TUI Group,73990.02,50460.0,93960.0,73990.02,3483.48,3483.48,,Data Scientist,UK
33,33,Tesco Bank,81233.64,74820.0,83520.0,81233.64,9651.78,9651.78,,Data Scientist,UK
34,34,Babylon Health,86752.92,78300.0,130500.0,86752.92,,,,Data Scientist,UK
35,35,Moneysupermarket Group,66227.88,53940.0,74820.0,66227.88,11052.48,11052.48,,Data Scientist,UK
36,36,King,89973.66,76560.0,104400.0,89973.66,13276.2,12197.4,15231.96,Data Scientist,UK
37,37,Zopa,86681.58,74820.0,104400.0,86681.58,,,,Data Scientist,UK
38,38,Toumetis,70405.62,52200.0,106140.0,70405.62,,,,Data Scientist,UK
39,39,Pairview,74077.02,60900.0,78300.0,,,,,Data Scientist,UK
40,40,Amazon,130726.2,60900.0,174000.0,130726.2,,,,Data Scientist,UK
41,41,J.P. Morgan,124114.2,43500.0,158340.0,,,,,Data Scientist,UK
42,42,BT,69600.0,67860.0,97440.0,69600.0,1748.7,1748.7,,Data Scientist,UK
