,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
0,Ascendum Solutions,Data Scientist,120294.68000000001,120520.0,120520.0,120294.68000000001,,,
1,Facebook,Data Scientist,198153.22,131000.0,286890.0,198153.22,19650.0,19650.0,33267.450000000004
2,Expedia Group,Data Scientist,158744.49000000002,145410.0,187330.0,158744.49000000002,43235.240000000005,43235.240000000005,24943.710000000003
3,"Quora, Inc.",Data Scientist,155663.37,144100.0,183400.0,155663.37,,,
4,Oracle,Data Scientist,183544.1,34060.0,251520.0,183544.1,20290.59,20290.59,15097.75
5,IBM,Data Scientist,162657.46000000002,79910.0,276410.0,162657.46000000002,4156.63,6663.97,39965.48
6,Microsoft,Data Scientist,170043.24000000002,17030.0,259380.0,170043.24000000002,20332.510000000002,20240.81,65500.0
7,ServiceNow,Data Scientist,148255.32,113970.0,216150.0,148255.32,27710.43,27710.43,
8,Amazon,Data Scientist,153708.85,79910.0,239730.0,153708.85,33321.16,33027.72,6550.0
9,Booz Allen Hamilton,Data Scientist,110709.41,83840.0,197810.0,110362.26000000001,6656.110000000001,6656.110000000001,
10,Intel Corporation,Data Scientist,158803.44,73360.0,212220.0,158803.44,15053.210000000001,13206.11,29256.23
11,Google,Data Scientist,183400.0,93010.0,297370.0,183400.0,33415.48,33415.48,83657.91
12,Wayfair,Data Scientist,141159.05000000002,106110.0,180780.0,141159.05000000002,13288.640000000001,13288.640000000001,6971.820000000001
13,Uber,Data Scientist,173246.19,70740.0,226630.0,173246.19,14785.970000000001,14785.970000000001,2660.61
14,Walmart,Data Scientist,150368.35,100870.0,235800.0,147026.54,22581.780000000002,21550.81,20049.55
15,Airbnb,Data Scientist,227222.12,125760.0,294750.0,227222.12,20345.61,20345.61,75951.18000000001
16,Adobe,Data Scientist,176428.18,119210.0,210910.0,176428.18,12566.83,12566.83,53888.16
17,Apple,Data Scientist,189897.6,124450.0,259380.0,189897.6,14195.16,14195.16,43114.72
18,Cisco Systems,Data Scientist,223104.79,99560.0,237110.0,223104.79,26460.690000000002,26460.690000000002,2026.5700000000002
19,R&D Systems,Data Scientist,147026.54,133620.0,146720.0,147026.54,,,
20,Western Digital,Data Scientist,175547.86000000002,149340.0,189950.0,175547.86000000002,35245.55,35245.55,6788.42
21,Nielsen,Data Scientist,109113.83,82530.0,162440.0,109113.83,9053.41,9053.41,
22,Capital One,Data Scientist,151997.99000000002,108730.0,188640.0,151997.99000000002,13848.01,13848.01,7313.7300000000005
23,Ford Motor Company,Data Scientist,127546.84000000001,96940.0,163750.0,127546.84000000001,7047.8,7574.42,13100.0
24,MZ,Data Scientist,140754.26,140170.0,140170.0,140754.26,27109.14,27109.14,
25,Aetna,Data Scientist,153708.85,110040.0,176850.0,153708.85,9323.27,9323.27,10668.640000000001
26,C3.ai,Data Scientist,148350.95,148030.0,200430.0,148350.95,1.31,1.31,1.31
27,LinkedIn,Data Scientist,182262.92,132310.0,206980.0,182262.92,17712.510000000002,17712.510000000002,55733.950000000004
28,PayPal,Data Scientist,189950.0,161130.0,229250.0,189950.0,19067.05,18916.4,35831.12
29,Fractal,Data Scientist,116904.40000000001,104800.0,163750.0,116904.40000000001,7860.0,7860.0,
30,Uptake,Data Scientist,143131.91,96940.0,171610.0,143131.91,6772.700000000001,,6772.700000000001
31,Boston Consulting Group,Data Scientist,155299.19,151960.0,214840.0,155299.19,30986.74,22902.73,8039.47
32,HP Inc.,Data Scientist,159829.17,159820.0,159820.0,159829.17,13321.390000000001,13321.390000000001,
33,McKinsey & Company,Data Scientist,133660.61000000002,111350.0,180780.0,133660.61000000002,27609.56,27609.56,
