,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean
0,Ascendum Solutions,120294.68,120520.0,120520.0,120294.68,,,,Data Scientist
1,Facebook,198153.22,131000.0,286890.0,198153.22,19650.0,19650.0,33267.450000000004,Data Scientist
2,Expedia Group,158744.49000000002,145410.0,187330.0,158744.49000000002,43235.24000000001,43235.24000000001,24943.710000000006,Data Scientist
3,"Quora, Inc.",155663.37,144100.0,183400.0,155663.37,,,,Data Scientist
4,Oracle,183544.1,34060.0,251520.0,183544.1,20290.59,20290.59,15097.75,Data Scientist
5,IBM,162657.46000000002,79910.0,276410.0,162657.46000000002,4156.63,6663.97,39965.48,Data Scientist
6,Microsoft,170043.24000000002,17030.0,259380.0,170043.24000000002,20332.51,20240.81,65500.0,Data Scientist
7,ServiceNow,148255.32,113970.0,216150.0,148255.32,27710.43,27710.43,,Data Scientist
8,Amazon,153708.85,79910.0,239730.0,153708.85,33321.16,33027.72,6550.0,Data Scientist
9,Booz Allen Hamilton,110709.41,83840.0,197810.0,110362.26,6656.1100000000015,6656.1100000000015,,Data Scientist
10,Intel Corporation,158803.44,73360.0,212220.0,158803.44,15053.21,13206.11,29256.23,Data Scientist
11,Google,183400.0,93010.0,297370.0,183400.0,33415.48,33415.48,83657.91,Data Scientist
12,Wayfair,141159.05000000002,106110.0,180780.0,141159.05000000002,13288.64,13288.64,6971.8200000000015,Data Scientist
13,Uber,173246.19,70740.0,226630.0,173246.19,14785.97,14785.97,2660.61,Data Scientist
14,Walmart,150368.35,100870.0,235800.0,147026.54,22581.78,21550.81,20049.55,Data Scientist
15,Airbnb,227222.12,125760.0,294750.0,227222.12,20345.61,20345.61,75951.18000000001,Data Scientist
16,Adobe,176428.18,119210.0,210910.0,176428.18,12566.83,12566.83,53888.16,Data Scientist
17,Apple,189897.6,124450.0,259380.0,189897.6,14195.16,14195.16,43114.72,Data Scientist
18,Cisco Systems,223104.79,99560.0,237110.0,223104.79,26460.69,26460.69,2026.57,Data Scientist
19,R&D Systems,147026.54,133620.0,146720.0,147026.54,,,,Data Scientist
20,Western Digital,175547.86000000002,149340.0,189950.0,175547.86000000002,35245.55,35245.55,6788.42,Data Scientist
21,Nielsen,109113.83,82530.0,162440.0,109113.83,9053.41,9053.41,,Data Scientist
22,Capital One,151997.99000000002,108730.0,188640.0,151997.99000000002,13848.01,13848.01,7313.73,Data Scientist
23,Ford Motor Company,127546.84,96940.0,163750.0,127546.84,7047.8,7574.42,13100.0,Data Scientist
24,MZ,140754.26,140170.0,140170.0,140754.26,27109.14,27109.14,,Data Scientist
25,Aetna,153708.85,110040.0,176850.0,153708.85,9323.27,9323.27,10668.64,Data Scientist
26,C3.ai,148350.95,148030.0,200430.0,148350.95,1.31,1.31,1.31,Data Scientist
27,LinkedIn,182262.92,132310.0,206980.0,182262.92,17712.510000000002,17712.510000000002,55733.95,Data Scientist
28,PayPal,189950.0,161130.0,229250.0,189950.0,19067.05,18916.4,35831.12,Data Scientist
29,Fractal,116904.4,104800.0,163750.0,116904.4,7860.0,7860.0,,Data Scientist
30,Uptake,143131.91,96940.0,171610.0,143131.91,6772.700000000002,,6772.700000000002,Data Scientist
31,Boston Consulting Group,155299.19,151960.0,214840.0,155299.19,30986.74,22902.73,8039.47,Data Scientist
32,HP Inc.,159829.17,159820.0,159820.0,159829.17,13321.39,13321.39,,Data Scientist
33,McKinsey & Company,133660.61000000002,111350.0,180780.0,133660.61000000002,27609.56,27609.56,,Data Scientist
34,Visa Inc.,161956.61000000002,136240.0,196500.0,161956.61000000002,14001.28,14001.28,26644.09,Data Scientist
35,Boeing,161241.35,111350.0,189950.0,161241.35,7676.6,7676.6,,Data Scientist
36,SAP,148362.74000000002,111350.0,168990.0,148362.74000000002,13413.09,13413.09,,Data Scientist
37,J.P. Morgan,160364.96000000002,91700.0,275100.0,160364.96000000002,43883.69,43883.69,1.31,Data Scientist
38,Twitter,189638.22,153270.0,218770.0,189638.22,19380.14,19380.14,65050.67000000001,Data Scientist
39,Facebook,121232.64,110040.0,141480.0,,,,,Data Scientist Intern
40,Lyft,208510.08,167680.0,243660.0,208510.08,13291.26,13291.26,95002.51,Data Scientist
41,NVIDIA,246475.19,212220.0,246280.0,246475.19,,,,Data Scientist
42,PwC,140023.28,108730.0,170300.0,140023.28,5424.71,5424.71,,Data Scientist
43,eBay,168995.24000000002,136240.0,216150.0,168995.24000000002,14231.84,14231.84,16864.940000000002,Data Scientist
44,KPMG,130886.03,94320.0,172920.0,130886.03,6971.8200000000015,6971.8200000000015,,Data Scientist
45,UnitedHealth Group,109140.03,93010.0,176850.0,109140.03,4295.49,4295.49,2035.74,Data Scientist
46,Verizon,155431.5,102180.0,214840.0,155431.5,16596.39,16596.39,2000.37,Data Scientist
47,Pixalate,172740.53,172920.0,172920.0,172740.53,,,,Data Scientist
48,Satmap,135913.81,136240.0,136240.0,135913.81,,,,Data Scientist
49,Ericsson-Worldwide,150279.27000000002,127070.0,206980.0,150279.27000000002,11362.94,11362.94,,Data Scientist
50,CKM Analytix,109347.01,94320.0,133620.0,109347.01,6636.46,6636.46,,Data Scientist
51,SimpleBet,173188.55000000002,106110.0,186020.0,173188.55000000002,,,58576.65,Data Scientist
52,Zillow,162556.59,132310.0,192570.0,162556.59,20260.46,20260.46,33989.26,Data Scientist
53,Stitch Fix,253955.29,213530.0,347150.0,253955.29,13707.84,13707.84,39940.59,Data Scientist
54,Spotify,171610.0,138860.0,200430.0,171610.0,26670.29,26670.29,40763.27,Data Scientist
55,Autodesk,155299.19,136240.0,184710.0,155299.19,6667.9000000000015,6667.9000000000015,,Data Scientist
56,Workday,169476.01,168990.0,209600.0,169476.01,,,26545.84,Data Scientist
57,Cognizant Technology Solutions,128636.76,106110.0,157200.0,128636.76,4173.66,4173.66,,Data Scientist
58,Civis Analytics,107725.23,86460.0,136240.0,107725.23,6788.42,6788.42,,Data Scientist
59,American Express,144352.83000000002,95630.0,174230.0,144352.83000000002,20049.55,20049.55,,Data Scientist
60,Caterpillar,110776.22,93010.0,127070.0,110776.22,10920.16,10633.27,16375.0,Data Scientist
61,Express Scripts,145009.14,145410.0,145410.0,145009.14,,,,Data Scientist
62,Salesforce,190337.76,145410.0,233180.0,190337.76,22842.47,22842.47,42914.29,Data Scientist
63,Tout (CA),175154.86000000002,158510.0,192570.0,175154.86000000002,,,,Data Scientist
64,Groupon,205845.54,119210.0,250210.0,205845.54,31995.44,32422.5,13530.99,Data Scientist
65,Allstate,133030.5,113970.0,174230.0,133030.5,5672.3,5672.3,,Data Scientist
66,AgilOne,123521.21,117900.0,244970.0,123521.21,,,,Data Scientist
67,Northrop Grumman,135788.05000000002,111350.0,205670.0,135788.05000000002,,,,Data Scientist
68,Rang Technologies,141908.37,124450.0,174230.0,141908.37,,,,Data Scientist
69,Deloitte,122302.91,52400.0,303920.0,122302.91,11786.07,11786.07,,Data Scientist
70,Insurance Services Office,113611.06,113970.0,166370.0,113611.06,,,,Data Scientist
71,Accenture,137753.05000000002,106110.0,175540.0,137753.05000000002,4789.3600000000015,5577.980000000001,13204.8,Data Scientist
72,Verisk Analytics,124646.5,113970.0,176850.0,124646.5,10160.36,10160.36,9333.75,Data Scientist
73,Bayer,146684.63,127070.0,159820.0,146684.63,12644.12,12644.12,,Data Scientist
74,Bank of America,135714.69,66810.0,251520.0,135714.69,10804.88,10800.95,6.550000000000002,Data Scientist
75,84.51°,112620.7,86460.0,159820.0,112620.7,5309.43,5309.43,,Data Scientist
76,Verizon Media,170860.68,144100.0,284270.0,170860.68,17086.33,17086.33,9807.97,Data Scientist
77,GE,153708.85,104800.0,230560.0,153708.85,4256.190000000001,4256.190000000001,,Data Scientist
78,NetApp,180317.57,137550.0,217460.0,180317.57,,,,Data Scientist
79,State Farm,128138.96,68120.0,193880.0,128138.96,10921.47,10921.47,,Data Scientist
80,General Motors (GM),139702.33000000002,100870.0,192570.0,139702.33000000002,20006.32,18960.94,23726.72,Data Scientist
81,Optum,121126.53,104800.0,168990.0,121126.53,2016.09,2016.09,,Data Scientist
82,Nordstrom,153103.63,123140.0,206980.0,153103.63,27824.4,27824.4,,Data Scientist
83,Honeywell,131000.0,100870.0,172920.0,131000.0,13838.84,13838.84,,Data Scientist
84,The Home Depot,155431.5,121830.0,200430.0,155431.5,8716.74,7311.1100000000015,19805.89,Data Scientist
85,Micron Technology,141304.46,125760.0,1245810.0,141304.46,13279.47,10228.48,12657.22,Data Scientist
86,Feedzai,132797.32,111350.0,172920.0,132797.32,23945.49,19415.51,8212.390000000001,Data Scientist
87,Lockheed Martin,133665.85,99560.0,317020.0,133665.85,27680.300000000007,27680.300000000007,27025.300000000007,Data Scientist
