,company,url_overview,url_review,url_interview,url_benefits
0,First Derivatives,"/Overview/Working-at-First-Derivatives-EI_IE35766.11,28.htm",/Reviews/First-Derivatives-Reviews-E35766.htm,/Interview/First-Derivatives-Interview-Questions-E35766.htm,"/Benefits/First-Derivatives-US-Benefits-EI_IE35766.0,17_IL.18,20_IN1.htm"
1,Deliveroo,"/Overview/Working-at-Deliveroo-EI_IE1053365.11,20.htm",/Reviews/Deliveroo-Reviews-E1053365.htm,/Interview/Deliveroo-Interview-Questions-E1053365.htm,"/Benefits/Deliveroo-US-Benefits-EI_IE1053365.0,9_IL.10,12_IN1.htm"
2,Barclays,"/Overview/Working-at-Barclays-EI_IE3456.11,19.htm",/Reviews/Barclays-Reviews-E3456.htm,/Interview/Barclays-Interview-Questions-E3456.htm,"/Benefits/Barclays-US-Benefits-EI_IE3456.0,8_IL.9,11_IN1.htm"
3,Lloyds Banking Group,"/Overview/Working-at-Lloyds-Banking-Group-EI_IE316191.11,31.htm",/Reviews/Lloyds-Banking-Group-Reviews-E316191.htm,/Interview/Lloyds-Banking-Group-Interview-Questions-E316191.htm,"/Benefits/Lloyds-Banking-Group-US-Benefits-EI_IE316191.0,20_IL.21,23_IN1.htm"
4,THG,"/Overview/Working-at-THG-EI_IE802179.11,14.htm",/Reviews/THG-Reviews-E802179.htm,/Interview/THG-Interview-Questions-E802179.htm,"/Benefits/THG-US-Benefits-EI_IE802179.0,3_IL.4,6_IN1.htm"
5,NatWest Group,"/Overview/Working-at-NatWest-Group-EI_IE10222.11,24.htm",/Reviews/NatWest-Group-Reviews-E10222.htm,/Interview/NatWest-Group-Interview-Questions-E10222.htm,"/Benefits/NatWest-Group-US-Benefits-EI_IE10222.0,13_IL.14,16_IN1.htm"
6,Tesco,"/Overview/Working-at-Tesco-EI_IE10250.11,16.htm",/Reviews/Tesco-Reviews-E10250.htm,/Interview/Tesco-Interview-Questions-E10250.htm,"/Benefits/Tesco-US-Benefits-EI_IE10250.0,5_IL.6,8_IN1.htm"
7,QuantumBlack,"/Overview/Working-at-QuantumBlack-EI_IE1508182.11,23.htm",/Reviews/QuantumBlack-Reviews-E1508182.htm,/Interview/QuantumBlack-Interview-Questions-E1508182.htm,"/Benefits/QuantumBlack-US-Benefits-EI_IE1508182.0,12_IL.13,15_IN1.htm"
8,J Sainsbury,"/Overview/Working-at-J-Sainsbury-EI_IE2978.11,22.htm",/Reviews/J-Sainsbury-Reviews-E2978.htm,/Interview/J-Sainsbury-Interview-Questions-E2978.htm,"/Benefits/J-Sainsbury-US-Benefits-EI_IE2978.0,11_IL.12,14_IN1.htm"
9,PwC,"/Overview/Working-at-PwC-EI_IE8450.11,14.htm",/Reviews/PwC-Reviews-E8450.htm,/Interview/PwC-Interview-Questions-E8450.htm,"/Benefits/PwC-US-Benefits-EI_IE8450.0,3_IL.4,6_IN1.htm"
10,HSBC Holdings,"/Overview/Working-at-HSBC-Holdings-EI_IE3482.11,24.htm",/Reviews/HSBC-Holdings-Reviews-E3482.htm,/Interview/HSBC-Holdings-Interview-Questions-E3482.htm,"/Benefits/HSBC-Holdings-US-Benefits-EI_IE3482.0,13_IL.14,16_IN1.htm"
11,Vodafone,"/Overview/Working-at-Vodafone-EI_IE5775.11,19.htm",/Reviews/Vodafone-Reviews-E5775.htm,/Interview/Vodafone-Interview-Questions-E5775.htm,"/Benefits/Vodafone-US-Benefits-EI_IE5775.0,8_IL.9,11_IN1.htm"
12,Capgemini,"/Overview/Working-at-Capgemini-EI_IE3803.11,20.htm",/Reviews/Capgemini-Reviews-E3803.htm,/Interview/Capgemini-Interview-Questions-E3803.htm,"/Benefits/Capgemini-US-Benefits-EI_IE3803.0,9_IL.10,12_IN1.htm"
13,IQVIA,"/Overview/Working-at-IQVIA-EI_IE8347.11,16.htm",/Reviews/IQVIA-Reviews-E8347.htm,/Interview/IQVIA-Interview-Questions-E8347.htm,"/Benefits/IQVIA-US-Benefits-EI_IE8347.0,5_IL.6,8_IN1.htm"
14,Facebook,/facebook,/Reviews/Facebook-Reviews-E40772.htm,/Interview/Facebook-Interview-Questions-E40772.htm,"/Benefits/Facebook-US-Benefits-EI_IE40772.0,8_IL.9,11_IN1.htm"
15,Admiral Group,"/Overview/Working-at-Admiral-Group-EI_IE35772.11,24.htm",/Reviews/Admiral-Group-Reviews-E35772.htm,/Interview/Admiral-Group-Interview-Questions-E35772.htm,"/Benefits/Admiral-Group-US-Benefits-EI_IE35772.0,13_IL.14,16_IN1.htm"
16,Mango Solutions,"/Overview/Working-at-Mango-Solutions-EI_IE1656009.11,26.htm",/Reviews/Mango-Solutions-Reviews-E1656009.htm,/Interview/Mango-Solutions-Interview-Questions-E1656009.htm,"/Benefits/Mango-Solutions-US-Benefits-EI_IE1656009.0,15_IL.16,18_IN1.htm"
17,Faculty,"/Overview/Working-at-Faculty-EI_IE1660422.11,18.htm",/Reviews/Faculty-Reviews-E1660422.htm,/Interview/Faculty-Interview-Questions-E1660422.htm,
18,Deloitte,"/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm",/Reviews/Deloitte-Reviews-E2763.htm,/Interview/Deloitte-Interview-Questions-E2763.htm,"/Benefits/Deloitte-US-Benefits-EI_IE2763.0,8_IL.9,11_IN1.htm"
19,BBC,"/Overview/Working-at-BBC-EI_IE5847.11,14.htm",/Reviews/BBC-Reviews-E5847.htm,/Interview/BBC-Interview-Questions-E5847.htm,"/Benefits/BBC-US-Benefits-EI_IE5847.0,3_IL.4,6_IN1.htm"
20,Unilever,"/Overview/Working-at-Unilever-EI_IE3513.11,19.htm",/Reviews/Unilever-Reviews-E3513.htm,/Interview/Unilever-Interview-Questions-E3513.htm,"/Benefits/Unilever-US-Benefits-EI_IE3513.0,8_IL.9,11_IN1.htm"
21,BAE Systems Applied Intelligence,"/Overview/Working-at-BAE-Systems-Applied-Intelligence-EI_IE692575.11,43.htm",/Reviews/BAE-Systems-Applied-Intelligence-Reviews-E692575.htm,/Interview/BAE-Systems-Applied-Intelligence-Interview-Questions-E692575.htm,"/Benefits/BAE-Systems-Applied-Intelligence-US-Benefits-EI_IE692575.0,32_IL.33,35_IN1.htm"
