,company,index,company_size,company_year_founded,company_type,company_industry,company_revenue,company_review,company_interview_difficulty,company_benefits,company_location
0,Ascendum Solutions,0,1001 to 5000 Employees,2006,Company - Private,IT Services,$100 to $500 million (USD),3.3, 2.2,2.5,"Blue Ash, OH"
1,Facebook,1,10000+ Employees,2004,Company - Public,Internet,$5 to $10 billion (USD),4.5, 3.1,4.7,"Menlo Park, CA"
2,Expedia Group,2,10000+ Employees,1996,Company - Public,Internet,$5 to $10 billion (USD),3.8, 2.9,4.3,"Seattle, WA"
3,"Quora, Inc.",3,201 to 500 Employees,2009,Company - Private,Internet,Unknown / Non-Applicable,4.1, 3.3,4.0,"Mountain View, CA"
4,Oracle,4,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,$10+ billion (USD),3.6, 2.9,4.0,"Redwood City, CA"
5,IBM,5,10000+ Employees,1911,Company - Public,IT Services,$10+ billion (USD),3.8, 2.8,3.6,"Armonk, NY"
6,Microsoft,6,10000+ Employees,1975,Company - Public,Computer Hardware & Software,$10+ billion (USD),4.3, 3.1,4.5,"Redmond, WA"
7,ServiceNow,7,10000+ Employees,2004,Company - Public,Enterprise Software & Network Solutions,$2 to $5 billion (USD),4.1, 2.9,4.2,"Santa Clara, CA"
8,Amazon,8,10000+ Employees,1994,Company - Public,Internet,$10+ billion (USD),3.9, 3.0,3.9,"Seattle, WA"
9,Booz Allen Hamilton,9,10000+ Employees,1914,Company - Public,Consulting,$5 to $10 billion (USD),4.0, 2.7,3.7,"McLean, VA"
10,Intel Corporation,10,10000+ Employees,1968,Company - Public,Computer Hardware & Software,$10+ billion (USD),4.1, 3.0,4.2,"Santa Clara, CA"
11,Google,11,10000+ Employees,1998,Company - Public,Internet,$10+ billion (USD),4.5, 3.3,4.6,"Mountain View, CA"
12,Wayfair,12,10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,$5 to $10 billion (USD),3.4, 2.8,3.8,"Boston, MA"
13,Uber,13,10000+ Employees,2009,Company - Public,Computer Hardware & Software,Unknown / Non-Applicable,4.0, 2.9,3.1,"San Francisco, CA"
14,Walmart,14,1001 to 5000 Employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",$10+ billion (USD),3.3, 2.2,3.2,"Bentonville, AR"
15,Airbnb,15,5001 to 10000 Employees,2008,Company - Private,Internet,Unknown / Non-Applicable,4.1, 3.1,4.5,"San Francisco, CA"
16,Adobe,16,10000+ Employees,1982,Company - Public,Computer Hardware & Software,$5 to $10 billion (USD),4.3, 3.1,4.6,"San Jose, CA"
17,Apple,17,10000+ Employees,1976,Company - Public,Computer Hardware & Software,$10+ billion (USD),4.2, 3.0,4.5,"Cupertino, CA"
18,Cisco Systems,18,10000+ Employees,1984,Company - Private,Computer Hardware & Software,$10+ billion (USD),4.2, 3.0,4.2,"San Jose, CA"
19,R&D Systems,19,501 to 1000 Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$100 to $500 million (USD),2.7, 2.6,3.9,"Minneapolis, MN"
20,Western Digital,20,10000+ Employees,1970,Company - Public,Computer Hardware & Software,$10+ billion (USD),3.6, 2.8,3.2,"San Jose, CA"
21,Nielsen,21,10000+ Employees,1923,Company - Public,Enterprise Software & Network Solutions,$5 to $10 billion (USD),3.7, 2.9,3.5,"New York, NY"
22,Capital One,22,10000+ Employees,1994,Company - Public,Banks & Credit Unions,$10+ billion (USD),4.0, 3.1,4.4,"Mc Lean, VA"
23,Ford Motor Company,23,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,$10+ billion (USD),4.0, 2.8,4.0,"Dearborn, MI"
24,MZ,24,501 to 1000 Employees,2008,Company - Private,Internet,Unknown / Non-Applicable,2.9, 2.7,4.2,"Palo Alto, CA"
25,Aetna,25,10000+ Employees,1853,Company - Public,Insurance Carriers,$10+ billion (USD),3.5, 2.7,3.5,"Hartford, CT"
26,C3.ai,26,501 to 1000 Employees,2009,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million (USD),4.5, 3.2,4.4,"Redwood City, CA"
27,LinkedIn,27,10000+ Employees,2003,Subsidiary or Business Segment,Internet,$5 to $10 billion (USD),4.2, 3.0,4.8,"Sunnyvale, CA"
28,PayPal,28,10000+ Employees,1998,Company - Public,Internet,$10+ billion (USD),4.0, 2.9,4.3,"San Jose, CA"
29,Fractal,29,1001 to 5000 Employees,2000,Company - Private,Consulting,$100 to $500 million (USD),3.8, 3.2,3.7,"New York, NY"
30,Uptake,30,501 to 1000 Employees,2014,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,2.2, 3.0,4.2,"Chicago, IL"
31,Boston Consulting Group,31,10000+ Employees,1963,Company - Private,Consulting,$5 to $10 million (USD),4.4, 3.7,4.7,"Boston, MA"
32,HP Inc.,32,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Unknown / Non-Applicable,4.1, 2.8,3.8,"Palo Alto, CA"
33,McKinsey & Company,33,10000+ Employees,1926,Company - Private,Consulting,Unknown / Non-Applicable,4.5, 3.7,4.8,"New York, NY"
34,Visa Inc.,34,10000+ Employees,1958,Company - Public,IT Services,$10+ billion (USD),3.9, 2.8,3.9,"Foster City, CA"
35,Boeing,35,10000+ Employees,1916,Company - Public,Aerospace & Defense,$10+ billion (USD),3.7, 2.8,4.2,"Chicago, IL"
36,SAP,36,10000+ Employees,1972,Company - Public,Computer Hardware & Software,$10+ billion (USD),4.6, 2.9,4.3,"Walldorf, Germany"
37,J.P. Morgan,37,10000+ Employees,1799,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),4.0, 2.9,4.0,"New York, NY"
38,Twitter,38,,,,,,4.1, 3.0,4.2,
39,Lyft,39,5001 to 10000 Employees,2012,Company - Public,Computer Hardware & Software,Unknown / Non-Applicable,3.8, 2.8,3.6,"San Francisco, CA"
40,NVIDIA,40,10000+ Employees,1993,Company - Public,Computer Hardware & Software,$5 to $10 billion (USD),4.8, 3.2,4.0,"Santa Clara, CA"
41,PwC,41,10000+ Employees,1998,Company - Private,Accounting,$5 to $10 billion (USD),3.8, 2.9,4.0,"New York, NY"
42,eBay,42,10000+ Employees,1995,Company - Public,Internet,$10+ billion (USD),3.9, 3.0,4.2,"San Jose, CA"
43,KPMG,43,10000+ Employees,1987,Subsidiary or Business Segment,Accounting,$2 to $5 billion (USD),3.9, 2.9,3.9,"Amstelveen, Netherlands"
44,UnitedHealth Group,44,10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,$10+ billion (USD),3.4, 2.7,3.2,"Minnetonka, MN"
45,Verizon,45,10000+ Employees,2000,Company - Public,Telecommunications Services,$10+ billion (USD),3.9, 2.9,4.4,"New York, NY"
46,Pixalate,46,1 to 50 Employees,2012,Company - Private,Computer Hardware & Software,$10 to $25 million (USD),3.3, 2.0,3.3,"Palo Alto, CA"
47,Satmap,47,,,,,,4.0,,,
48,Ericsson-Worldwide,48,10000+ Employees,1876,Company - Public,Telecommunications Services,$10+ billion (USD),3.8, 2.9,4.3,"Stockholm, Sweden"
49,CKM Analytix,49,51 to 200 Employees,2011,Company - Private,Consulting,$10 to $25 million (USD),3.1, 3.1,4.3,"New York, NY"
50,SimpleBet,50,51 to 200 Employees,2018,Company - Private,Internet,Unknown / Non-Applicable,2.3, 3.0,1.0,"New York, NY"
