,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Type,Year Founded
0,OpenMarket,"We’ve got a pretty good thing going on here at OpenMarket. We’re leaders of a mobile industry that's transforming the way customer obsessed businesses communicate with their customers. Join our team: we're friendly, caring, weirdly tenacious, and fun.
The world’s biggest brands seek us out because we love finding ways to help them make their customers’ lives easier. It’s this obsession with customer experience that helps us develop software, technology and processes that competitors all over the world desire

At OpenMarket, we offer challenging projects with a collaborative and approachable environment. We value people who take pride in their work and place an emphasis on getting things done. We understand that our success results from our diverse and dynamic workforce—the same people who compose our invaluable culture. Key to our culture are the company’s core values: Value People, Be Authentic, Take Ownership, and Deliver as a Team.
Does this sound like you? Come join us.

Do you enjoy breaking down large data sets into meaningful clusters and utilizing the resources required to make things happen?
Do you want to play a role in building phenomenal data engineering teams?
OpenMarket is currently seeking a Data Scientist to join a data engineering team comprising of Software development engineers, Data engineers, Data scientists and program managers. You will explore and analyze the company data, building algorithms and models which provide data insights to the business.
You will work within a data engineering team where you will share roles and responsibilities when necessary to ensure the success of the team. Delivering as a team.

Understand and analyze our data sets and provide a holistic view of all our data
Analyze our data and derive meaningful insights that improve the customer experience
Develop machine learning models that predict message delivery outcomes, then leveraging those models to improve the quality of service we deliver through our messaging platform
Evaluate and identify 3rd party data sets that bring new insights to our messaging customers
Advise on our data platform architecture and its ability to support our data science needs
Advise on best practices for data organization, pre-processing and enrichment
Partner with other teams and advise on what is possible and how to get there

3+ years of work experience with machine learning models
3+years of work experience in analyzing unstructured data.
Experience working with NLP algorithms and toolkits
Demonstrated competency with programming languages such as Python, Java and R
Excellent oral and written communication skills


Minimum Master's in Computer Science, AI, Machine learning or related discipline

You love being a part of a small, dynamic, and agile team that encourages you to learn and grow
You desire to work with some of the world’s top brands
You love finding solutions to interesting problems and figuring out how things work
You welcome having autonomy with complex tasks
You are passionate about using your experience and expertise to inspire the team

This role is open in London / U.K.
OpenMarket embraces diversity and is an equal opportunity (EEO) employer.
Employment in this position may be contingent upon successful completion of a criminal and/or credit background investigation.",,Enterprise Software & Network Solutions,"London, England",Principal Data Scientist,4.5,$100 to $500 million (USD),Information Technology,201 to 500 Employees,Subsidiary or Business Segment,1999
1,causaLens,"Data Scientist - Applied Science



Job description

Summary

We are looking for a motivated and high-achieving Data Scientist - Applied Science based in London to join the team on our vision to optimise every business on the planet. This is a full-time placement with significant opportunities for personal development.

We offer an intellectually stimulating environment, work within an interdisciplinary team and an inclusive culture. We are a high-calibre, mission-driven team building a technology that improves our world.

Roles and Responsibilities

This is an exciting role for a smart, creative person with a strong technical background and desire to apply his/her skills in a stimulating scientific environment.
Your work will include:
Prototyping applied research that goes into the product
Helping shape the future direction of the technology
Helping customers integrate our technology
Helping customers solve problems using our technology
Research and evaluation of novel use-cases for the causaLens technology


The Company
Current machine learning approaches have severe limitations when applied to real-world business problems and fail to unlock the true potential of AI for the enterprise. causaLens is pioneering Causal AI, a new category of intelligent machines that understand cause and effect - a major step towards true artificial intelligence. Our enterprise platform goes beyond predictions and provides causal insights and suggested actions that directly improve business outcomes for leading businesses in asset management, banking, insurance, logistics, retail, utilities, energy, telecommunications and many others.

We are committed to addressing the diversity problem in the tech industry, and that starts with making sure we have a team where everyone feels at home and can contribute as a peer.

causaLens in the News
Best Deeptech Company 2019 - Artificial Intelligence Awards
‘Meet causaLens, a Predictive AI For Hedge Funds, Banks, Tech Companies’ – Yahoo Finance
‘The U.K.’s Most Exciting AI Startups Race To Scale’ - Forbes
‘AllianzGI Taps Virtual Data Scientists amid War for Talent’ - Financial Times
‘Machine Learning Companies to watch in Europe’ - Forbes
‘Best Investment in Deeptech’ award - UK Business Angels Association awards
‘100 Most Disruptive UK Companies’ - Hotwire
‘causaLens Appoints Hedge Fund Veteran and Data Leaders to Advisory Board’ - Newswire
Benefits
The opportunity to join a fast-growing, agile, and international team passionate about innovation and making a difference
Competitive remuneration
Share option scheme
Pension scheme
32 days paid holiday allowance (incl. bank holidays)
Equipment you need to get the job done (MacBook Pro etc.)
Good work-life balance
Opportunities for continued learning and self-development, including courses, conferences and book budget
Flexible work-from-home and remote days
Cycle to work scheme
Weekly journal club and knowledge sharing presentations
Regular team outings, pizza Thursdays and annual company retreats
Fruits, snacks and soft drinks in the office
Amazing, smart, fun and inspiring colleagues, always there to support your ideas, growth and enthusiasm


Logistics

Our interview process consists of an online coding challenge, 3 Technical interviews and a ""Day 0"" which is spent with the team. Normally the Day 0 takes place on-site but for the time being, they will take place online.

We will do our best to transparently communicate the process with successful candidates.


Job requirements

This role is open for candidates of all seniorities, junior to senior.
Strong academic record (MEng, MSci, EngD or PhD).
Demonstrated ability to discover the business potential of novel technologies
Advanced quantitative skills in machine learning/statistics/mathematics or similar fields
Ability to apply complex technologies in novel high-value use-cases
An excellent written and verbal communicator with a high level of business acumen
Highly capable, self-motivated, collaborative and personable
High integrity and drive
Naturally curious and effective problem solver
Ability to effectively work independently in a fast-moving environment
Strong coding skills. Preferably in Python",,Enterprise Software & Network Solutions,"London, England",Data Scientist - Applied Science,4.5,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Company - Private,2017
2,Northrop Grumman UK,"Are you an experienced Data Scientist looking for a new role where you will grow a varied portfolio of projects and shape the Data Science strategy and vision for an evolving and dynamic organisation?
You must have high level clearance.

Due to the success of a number of strategic Gloucestershire based programmes, we are growing our Data Science team with creative and ambitious Data Scientists and Machine Learning Engineers. With a primary focus on applying data science and machine learning to deliver digital transformation for our customers, your experience will cover different machine learning and data science technologies within an agile environment.
Different thinking for a Different world
Northrop Grumman is a leading global security company providing innovative systems, products and solutions to government and commercial customers worldwide. In Northrop Grumman’s rapidly growing UK Cyber and Intelligence business, we support our customers’ work to make the UK the safest place to live and do business, both physically and online.
Working with and alongside our customers, we use modern software engineering methods (Scaled Agile Development, Dev Sec Ops, Site Reliability Engineering, micro-service architectures) and cutting edge techniques (data science, Artificial Intelligence, Machine Learning) to tackle complex and challenging problems and deliver cost effective, reliable, supportable solutions.
Our solutions support complex analysis of substantial amounts of data, requiring state of the art ‘big data’, stream processing and cloud-based analytics, identifying and using ‘best of breed’ commercial and open source technologies and integrating them with our own software to meet customer needs quickly and efficiently.
At Northrop Grumman we pride ourselves on our ability to combine agile development with sound engineering and security practices to ensure that our solutions are robust and resilient; designed and built to start secure and stay secure against ever evolving cyber security threats. As well as designing for security, Information Assurance and legal / policy compliance, we actively assess products and services, identifying vulnerabilities and weaknesses that could be exploited by cyber attackers, and we create and run exercises to pit cyber security specialists against secure systems and each other.
We carry out research and innovation locally in the UK, with commercial and academic partners, and across our 85,000+ worldwide workforce.
How you will make a difference
For us, innovation is key and we have immediate opportunities for talented data scientists to join our team. We want you to help us apply data science and machine learning to transform the way our customers do business. We want to apply the latest developments in data science and machine learning, and to take technical risks – if the potential payoff is transformative. We are in a phase of rapid growth and there are opportunities to develop your career with us to meet your aspirations.
You will be helping us to solve our customer’s problems within an agile team. You will have opportunities across a range of data science and machine learning projects: from R&D to large-scale production deployment; from forecasting and decision trees to the latest developments in deep learning.
As a Principal Data Scientist you will have had responsibility for the design and delivery of data science and machine learning projects; supporting business development; leading teams, line managing and mentoring colleagues; and working with customers.
Key criteria required...
A deep technical background in machine learning and data science
Experience of developing and delivering data science strategy
Experience of growing, developing and leading a data science team
Experience of leading and growing a portfolio of data science projects
Experience of technically leading the design and delivery of data science and machine learning solutions that transform ways of working and deliver measurable benefit
Experience of taking a project from an initial concept through to deployment in a production system
Experience of supporting business development through contributions to customer proposals and R&D projects
Experience of being a technical authority for data science and machine learning, and primary customer point of contact
Experience of championing innovation in a data science team and ensuring they remain at the leading edge of the application of data science and machine learning
Experience of using open source machine learning algorithms
Experience of modern software engineering practices, such as SCRUM/Agile, micro-services and containerisation (including Docker and Kubernetes) etc.
an MSc or PhD in a numeric field (Mathematics, Statistics, Computing, …)
Also, we’d love it if you have experience of...
influencing customer thinking in machine learning and thought leadership
delivering solutions based on deep learning
delivering solutions based on NLP
deploying machine learning to Cloud platforms (e.g. AWS, Azure)
adversarial learning
data engineering
You will enjoy a growing career as we work collaboratively to innovate the world of data science and machine learning.
Additional information for your consideration...
You must be able to hold UK Government clearances
Opportunities exist across the UK to enhance your career progression
Being a part of Northrop Grumman gives you the opportunity to use your skills to make a difference in our mission of enabling global security. Our company grows because of our employees' dedication and commitment to achieving our mission, something we always remember. In return for working for us you will have access to a benefits package that provides you with flexibility to balance your professional career with your personal life, health & well-being benefits, discount schemes, pension benefits and investment in your future development.
We are committed to equality and diversity in our workplace. Northrop Grumman provides equal employment opportunities to all employees and applicants without regard to an individual’s protected status, including race, ethnic origin, colour, nationality, national origin, ancestry, sex/gender, gender identity/expression, gender reassignment, sexual orientation, marriage/civil partnership, pregnancy/maternity, religion or belief, creed, age, disability, genetic information, or any other protected status or characteristic.
Looking for flexibility? Talk to us at the application stage about what may be possible.",,Aerospace & Defense,"Cheltenham, England",Principal Data Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ Employees,Company - Public,1939
3,LGC Limited,"We are looking for an Immunogenicity Regulated Project Manager to join our Large Molecule Bioanalysis team.
Job Purpose:
The focus of the team is the development and validation of immunogenicity assays and subsequent analysis of samples to detect antibodies to therapeutic treatments in biological samples. This work is completed within a regulatory framework to deliver high quality analytical data to our clients.
Key responsibilities:
Experience of performing the role of Study Director/Analytical Project Manager/Principal Investigator for GLP and GCP validation and sample analysis projects
Immunoassay experience, particularly experience of ADA and nAbs assays. Experience of PK/PD is also advantageous
Aware of the latest regulatory guidelines for immunogenicity
You will be skilled at building and maintaining good working relationships with internal and external clients, management and other scientific staff
You will play an active role in supervising and planning the work of more junior members of the department and contributing to their development and learning
Experience of managing project timelines and budgets
Qualifications
Education, experience and technical skills:
Degree in biological science, or relevant experience
Excellent written and verbal communication skills
Computer literate
Experience in a GLP/GCP accredited laboratory
Ability to work independently as well as part of a team
Conscientious and meticulous in laboratory work
Enthusiastic, motivated and driven individual
What we can offer you:
We offer a flexible approach to work, in a friendly and informal environment. As well as a competitive salary, we offer a range of flexible benefits including a group personal pension plan, cycle to work scheme, travel insurance and many more.
INDGB",,,"Fordham, Cambridgeshire, East of England, England",Senior Scientist/Regulated Project Manager - Immunogenicity,,Less than $1 million (USD),,Unknown,Company - Public,
4,Neilson Financial Services,"Data Scientist - Decision Science
Purpose of the role: Decision Science is a new and growing area within BI. We are seeking a driven Analyst (equivalent to Junior Data Scientist) to join us in our journey to deliver commercial value through advanced analytics and models.
You will have a strong background in statistics and mathematics. Fluency in SQL scripting and R programming is a must. You will be comfortable operating in an unstructured environment.
What you will be working on
You will take project briefs from Head of BI and conduct robust analyses that follow a structured process: data extraction, data validation, data exploration, pre-processing, variable selection, model selection, model evaluation, model optimisation, and model output communication.
You will work closely with a Senior Analyst in the Decision Science team to build and maintain propensity models for campaign targeting, prospect scoring, and customer churn. You will also get your hands dirty with attribution and media mix modelling.
You will be responsible to develop replicable and automated processes to run basic regression and statistical inference analysis on an ad-hoc basic.
What you will need to be successful
Minimum 3 years experience in similar role
You have worked as an Analyst or Junior Data Scientist to deliver data, reports, and insights as part of larger projects.
You are highly analytical - backed with solid fundamentals in math and statistics. You possess sharp critical thinking and problem-solving skills when it comes to interpreting data and how it interacts with the model. You have a passion for statistical learning and researching new methods.
You will leverage datasets and people you have access to in the business to grow domain knowledge around how the business operates.
You are fluent in SQL and R. You are open to learning dashboarding in Power BI if not already adept.
Job Types: Full-time, Permanent
Salary: £45,000.00-£50,000.00 per year
Benefits:
Casual dress
Company events
On-site parking
Sick pay
Work from home
Schedule:
8 hour shift
Monday to Friday
Experience:
Data Science: 3 years (Required)
Work remotely:
Yes, temporarily due to COVID-19",,Insurance Agencies & Brokerages,"Slough, Berkshire, South East England, England",Data Scientist,3.1,$10 to $25 million (USD),Insurance,51 to 200 Employees,Company - Private,2012
5,Evidera,"Research Scientist – Peri-and-Post Approval Studies (PPAS)
We are ideally looking to fill this position in Sweden; however, we will consider other candidates throughout the US and/or Europe
Team Overview

Evidera has been providing health economics, outcomes research, market access, data analytics and epidemiology services to clients in the biopharmaceutical industry for over 19 years. The Peri- and Post Approval Studies (PPAS) team supports biopharmaceutical companies throughout the product lifecycle, from early pre-launch planning to launch and post-marketing management. Our focus is on helping our clients in the pharmaceutical/ biotechnology/ medical device industries build economic and epidemiological evidence to demonstrate and support the value of their products. Through analysis of individual patient databases (e.g., medical claims, electronic health records, registries, etc.), we may provide key information such as:
Treatment patterns and drug utilization
Resource utilization
The incidence and prevalence of diseases and co-morbidities
The incidence of adverse events
The impact of various risk factors
Cost-effectiveness
Burden of disease
Comparative effectiveness data
Knowing the relationships between patient, drug, clinical and disease factors can significantly aid clients in navigating potential drug-event causal relationships as well as in building stronger evidence-based value messages.
Position Summary
The Research Scientist acts as the independent principal investigator (PI) of projects responsible for overseeing all aspects of delivery of retrospective, cross-sectional, and/or prospective studies. This may include studies of existing databases and/or de novo data collection. Responsible for strategic consultation and for use of best methods to address research needs. Oversees and participates in a large project portfolio. Innovates scientifically and produces output of high scientific quality. Assumes significant responsibilities for sales targets and client development.
Essential Duties and Responsibilities: (other duties may be assigned)
Independent PI of a large portfolio of projects, responsible for overseeing all aspects of proposals and project delivery.
Responsible for project completion and quality delivery. Delegate’s coordination tasks to mid-level and junior staff.
Responsible for significant sales target, with accompanying expectation around client/business development. Contributes to strategic thinking around sales and product development.
Makes meaningful contributions to process improvements and product development.
Identifies training needs for junior staff, helps to develop relevant training materials, provides recommendation on appropriate staff to lead trainings, and serves as hands-on mentor.
Co-authors abstracts/articles for scientific publication or presentation at scientific meetings.
Education Level/Years of Experience
Masters or Doctorate degree plus relevant professional experience in the health industry / consulting environment.
Advanced understanding of statistics, quantitative methods in health economics, epidemiology and/or related fields, and experience in practical research implementation.
Computer software skills required: Intermediate knowledge of Microsoft Word, Excel, PowerPoint, and Outlook.
Consulting Expectations
Responsible for strategic consultation and for use of best methods to address research needs.
Innovates scientifically and produces output of high scientific quality.
Managerial Duties
Supervisory role possible, but not mandatory.
Personal Skills & Competencies
Communicates and documents information effectively in written English, including the ability to produce reports, documents, emails and other written pieces which are well-organized, free from errors, and are appropriately adjusted to the characteristics and needs of the audience.
Leverages working relationships with customers and colleagues to quickly develop and sustain positive rapport, build strong connections, cooperation and collaboration in person, over the phone and by email.
Tailors and delivers high-level presentations to diverse audiences using a variety of communication delivery methods (e.g., written, electronic, oral, interpersonal).
Makes independent, critical decisions based on relevant information. Applies solutions based on decisions in a timely manner.
Analyzes complex issues and evidence, identify cause-effect relationships, and generate effective solutions.
Desire and ability to guide and coach junior-to mid-to levels of scientific staff.
The role will require travel and flexibility to work across time zones.
About Evidera
Evidera is a business within in Pharmaceutical Product Development, LLC (PPD) a leading global contract research organization (CRO), and a is a preeminent provider of evidence-based solutions. We provide integrated scientific expertise and global operational capabilities to help clients generate the evidence needed to optimize the market access and commercial potential of products.
Perks
We offer a competitive salary and benefits package, with clear opportunities for growth and career progression. You will have the opportunity to work on multiple projects with some of the industry’s leading researchers. Our offices boast a fun and collaborative working environment, frequent social events and a robust support system. We are committed to providing training and professional development, with ample opportunity to advance, for all our staff.
Evidera’sCore Competencies
Customer Focus
Initiative
Teamwork
Problem Solving/Judgment
Accountability
If you resonate with our core competencies and want to contribute to research and consulting services driven by world-class science and thought leadership, then please submit your application – we’d love to hear from you.
Evidera, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, genetics, sexual orientation, gender preference,disability, or status as a qualified individual with a disability or protected veteran.",,Biotech & Pharmaceuticals,"London, England",Research Scientist Peri-and-Post Approval Studies (PPAS),3.8,$100 to $500 million (USD),Biotech & Pharmaceuticals,501 to 1000 Employees,Subsidiary or Business Segment,2013
6,Essence,"About Essence

Essence, part of GroupM, is a global data and measurement-driven media agency whose mission is to make advertising more valuable to the world. Clients include Google, Flipkart, NBCUniversal, L'Oréal and the Financial Times. The agency is more than 2,000 people strong, manages $4B in annualized media spend and deploys campaigns in 121 markets via 21 offices in APAC, EMEA and North America. Visit essenceglobal.com for more information and follow us on Twitter at @essenceglobal.

About the company

Essence is a digital agency that delivers strategy, media, creative and social solutions globally. It is the digital agency of record for sophisticated clients such as Google, ITV and Airbnb; clients at the leading edge of the digital marketplace.

Over the last 15 years, we've successfully redefined what it means to be a 'digital agency'.

This is best summed up by our CEO, Kyoko Matsushita, who, when asked is Essence a digital agency or a Media agency, replied ""neither. We are a data & measurement agency that happens to apply those skills to media.""

This is reflected in our structure, the people we hire and the work we do - which has been getting the plaudits including Campaign Tech Agency of the Year, Campaign US Media Agency of the Year, AdAge A-List Data & Analytics Agency of The Year in 2020, and Adweek's Breakthrough Agency of the Year and OMMA Agency of the Year in 2019.

About the role

Essence is seeking a Junior Data Scientist to join our growing Product Development team, reporting into the Director of Product Innovation. The Product Development team focuses on applying data science techniques, Machine Learning and AI to help make brands become more valuable to the world.

You will be working with leading advertisers, including Google, NBCU and Target, to harness their data and improve the performance of their campaigns, creating industry-first solutions.

Our vision is of rapidly creating prototypes and value driven data science. You will be joining an award winning team, with more than 16 tech and media industry awards to our name, including Campaign Magazine's Tech Awards Agency of the Year, Best Use of AI, and Breakthrough Tech as Part of a Campaign awards.

We have invested in giving you the tools to make you as successful as possible, including a company wide data science workbench, full access to Google Cloud Platform and exclusive Google Tech Events, and a wider global community of analysts and data scientists.

Some of the things we'd like you to do:
You will be a highly innovative and dynamic individual, who can propose new ideas, and collaborate with a team to bring them into action.
You will need to be passionate and have worked on interpreting large-scale data sets, visualising findings, writing code to automate tasks, and on how to use data science and ML approaches successfully.
You will not do this alone but be asked to work very closely with the lead data scientist on the project, the Director of product Innovation and our developers and engineering team.
You will be responsible for supporting the development and maintenance of working prototypes powered by data science propositions, ML and AI.
You will be expected to collaborate with the wider team, to apply advanced data science concepts, into production.
You will also contribute to the successful development of features and facilitate the understanding of how advanced DS techniques are valuable for said products.
Key Responsibilities:
Action prototyping briefs, in collaboration with the wider engineering team
Propose new product features using your knowledge on DS and industry expertise
Collaborate with the wider DS team to grow adoption of DS and ML in the organisation
Onboarding and formatting of new data sets, mostly hosted on BigQuery
Collaborate on brainstorming sessions to include new features and or approaches
Communicate, debug and escalate any issues with the prototype pipelines
A bit about yourself
Degree(s) in applied quantitative field (Statistics, Mathematics, Economics, Engineering) or CS
2+ years' experience in an analytically driven media role, preferably agency-side within the digital marketing industry
Strong analytical skills, with the ability to identify business questions, analyse data, draw conclusions, and develop actionable recommendations
Experience on coding Python ML pipelines
Experience interrogating databases and systems using SQL and/or other tools to obtain answers
A knack for presenting complicated data in a way that cuts-through the noise and allows the audience to focus on the underlying trends and insight
Good organisational and project management skills, to ensure you can keep on top of your own and others' workload
Established and professional communication, presentation, and influencing skills
Nice to haves (distinctive advantage):
Experience on ad serving technologies (SA360, GA, Adobe Omniture, DoubleClick, Mediamind, Atlas), site analytics, research panels and tools
Proved understanding and experience with bidding transactions in media platforms
Experience on coding python for production
You will have the talent and appetite to become an influential member of a fast-growing digital agency – to keep developing yourself and us!
What you can expect from Essence

Essence's mission is to make advertising more valuable to the world. We do this by employing the world's very best talent to solve some of the toughest challenges of today's digital marketing landscape. It's important that we hire people whose values reflect those of our own: genuine, results-focused, daring and insightful. As an Essence employee, we promise you a workplace that invests in your career, cares for you and is fun and engaging. We believe these factors create a workplace where you can be yourself and do amazing work.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, or marital status.",,Advertising & Marketing,"London, England",Junior Data Scientist,3.1,$2 to $5 billion (USD),Business Services,1001 to 5000 Employees,Company - Public,2005
7,Echobox,"Echobox has access to very large granular private data sets and is currently only using a small part of this in end user products. You will work closely with our CTO to help push the boundaries of what the Echobox Artificial Intelligence is capable of achieving with this data.

Key Responsibilities
You will contribute to the development of prototypes that can be turned into end user products by the core development team.
You will assist in the customisation of the product for new customers and trial data analyses where required.
You will stay up to date with the latest advances in ML and AI.
About Echobox

We are a fast-growing, research-driven company building an artificial intelligence that helps online publishers overcome the challenges they face every day. Using novel machine learning techniques, we are revolutionising the publishing industry and have a track record of building things that others have ruled out as impossible. Leading names from around the world rely on our product every day, including The Times, Le Monde, The Guardian, Vogue and many more.

Our team is our best asset. We work with extremely smart and talented individuals, who all enjoy a high degree of responsibility and independence in structuring their work. To get a better insight into the kind of work we do, check out our open-source project on Github, our data showcases and our YouTube content on Microservices.

Do you think you have what it takes to be part of Echobox? We'd love to hear from you.

Requirements:

Minimum Academic Qualifications
2.1 degree in a STEM subject from a top tier university.
Required Skills and Experience
Fluent written and spoken English
A very strong understanding of classical statistics
A basic knowledge of different ML and AI methodologies and the desire to become an expert
Strong background in a programming language suitable for analyses (e.g. R, Python, Java, C#, C++)
A familiarity with Java (SE7+) and a desire to become an expert
An ability and desire to learn new skills quickly
Genuine passion for making the impossible possible
Preferred Skills
Strong knowledge or experience in one area of ML and AI.
Experience developing software as part of a team, e.g. DVCS, open source software projects.
Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.
Benefits:

Our employees enjoy free breakfast every day, coffee, drinks and snacks all day, everyday. Every Wednesday, we order food for our weekly team lunches where everyone gets together for an hour of fun. We have monthly team events (dinner, bowling, karting, poker nights, board-games etc.) for our team to get to know each other outside of work. Professionally, we host in-house conferences and an annual summer camp for all our global employees who are flown to and hosted in London. We ensure that all our employees also get pension contributions, the latest tech, generous annual leave and an amazing office with a balcony overlooking Notting Hill.",,Enterprise Software & Network Solutions,London,Junior Data Scientist,4.5,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Company - Private,
8,Novafutur,"This is an opportunity to become a Data Scientist\ML Engineer and to become an integral part of our team. Being a data scientist would require the ability to analyse big data sets coming from heterogeneous producers both in real time and offline, as well as to apply complex algorithms producing readable reports using BI tools and online KPIs integrated with operational systems. Our data scientist should be very good at working and communicating within an existing team and collaborate on a daily basis.
Responsibilities:
Ability to analyse big data sets coming from heterogeneous producers both in real time and offline.
Apply complex algorithms producing readable reports using BI tools and online KPIs
Creating machine learning tools to generate predictions and insights
Apply deep learning techniques in a commercial setting
Required Skills and Experience:
University degree in a scientific field (Maths, Statistics, Computer Science, Data Science)
Knowledge of Python and SQL
Knowledge of the following algorithms:
Linear and logistic regression
LDA
SVM
K-nearest neighbors
K-means clustering
Classification and Regression trees
Naive Bayes
Ideally Applicants have:
A high level of mathematical ability
Thorough grounding in statistics
Problem solving skills on high level
Methodical and logical approach
Accuracy and attention to detail
Natural passion for data analytics

If you feel you have the knowledge and skills to excel in this role, we would love to hear from you. To apply through email, click the ""Apply"" button or address an email to:
‍
recruitment@novafutur.com
‍
Subject Line: Date (DD/MM/YYYY) Last Name, Job Title
Include: Resume, Cover letter",,,"London, England",Junior Data Scientist,,,,,,
9,IQVIA,"The IQVIA Predictive Analytics team is one of the leading healthcare analytical teams in the world. Joining provides the opportunity to work with extremely complex data and methodologies in a fast-paced, ever-changing environment. We seek highly motivated people who truly want to make a difference in the life sciences industry. At IQVIA, we look for the very best people and then give them meaningful work to do. We don’t simply think about careers, we think about contributions.

Junior Data Scientist,
Predictive Analytics, RWS Technology


IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness the power of healthcare data, domain expertise, transformative technology, and advanced analytics to drive healthcare forward.

We are looking for an intellectually curious and detail-oriented Data Scientist, with experience in applying machine learning methods to solve real-world problems, to join our London (Kings Cross) team. This is an exciting opportunity to work in one of the world's leading human data science teams, working with one of the largest medical healthcare datasets to help our clients answer specific questions, make more informed decisions and deliver results.

A typical day might include:
Working with the team and client to shape and develop requirements for answering ambitious life science questions (e.g. can we predict a rare disease diagnosis or an optimal dosing frequency in patients?)
Addressing those requirements by developing and applying appropriate ETL processes (for feature creation from our raw data) and machine learning methodology (for constructing predictive models in an unbiased manner).
Researching machine learning techniques that could be used to improve our offering.
Communicating technical concepts and analytical outputs to a diverse set of stakeholders (internal and external).
Owning the delivery of client-facing projects from a technical perspective: working closely with data engineers, data scientists and consultants in an agile environment to deliver high quality, robust insights.
Contributing to code reviews during projects and providing feedback.
Proactively identifying opportunities for innovation and areas for improvement across the workflow.
Ideally you will have:
Postgraduate degree or higher in a technical or scientific domain or experience working in a technical / consulting environment involving advanced analytics, preferably in a commercial setting.
Strong scientific programming skills in Python.
Appetite for applying new and existing technologies to challenging problems in health care, i.e. motivated by solving the problem.
Knowledge and practical experience of applying supervised machine learning methods, such as regularised regression, ensemble tree-based models (e.g. xgboost) and deep learning methods.
Excellent organisation skills and ability to deliver results to deadlines.
Excellent communication skills, including ability to present technical concepts clearly (in writing, face-to-face discussions and on conference calls), write project analyses, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.
A proactive, innovative and pragmatic approach to problem solving, and an ability to think critically and independently.
Ability to work collaboratively as part of a cross-functional team.
Bonus points for:
PySpark / big data experience.
Experience of code development in collaborative environments (e.g. doing code reviews through pull requests).
Knowledge of healthcare patient-level data.
Knowledge of epidemiology / biostatistics, particularly analytical issues relating to studies of treatment effectiveness, disease progression, adherence, healthcare utilisation, etc.
Knowledge of healthcare / life science issues.

The Team


“Big Data” is changing the way that the healthcare world operates and, now more than ever, the key to better patient outcomes is through better use of technology, seamlessly integrated information and analytics. Our Predictive Analytics team within the Real-World Solutions (RWS) Technology division is a fast-growing group of collaborative, enthusiastic, and entrepreneurial individuals. In our quest to harness the value of Real World Evidence (RWE), we are at the centre of IQVIA’s pursuit of machine learning and cutting-edge statistical methods to advance healthcare. Our efforts improve retrospective clinical studies, under-diagnosis of rare diseases, personalised treatment response profiles, disease progression predictions, and clinical decision-support tools.

You will join this high-profile team to work on ground-breaking problems in health outcomes across disease areas including Ophthalmology, Oncology, Neurology, Chronic diseases (such as diabetes), and a variety of very rare conditions. The Predictive Analytics team works hand-in-hand with statisticians, epidemiologists and disease area experts across the wider global RWE Solutions team, leveraging a vast variety of anonymous patient-level information. The data encompasses IQVIA’s access to over 530 million anonymised patients as well as bespoke, custom partnerships with healthcare providers and payers.

We offer competitive compensation and benefits, and a variety of training and development opportunities.


We thank all applicants for their interest; however, only those selected for an interview will be contacted.

We invite you to join IQVIA™.


IQVIA is a strong advocate of diversity and inclusion in the workplace. We believe that a work environment that embraces diversity will give us a competitive advantage in the global marketplace and enhance our success. We believe that an inclusive and respectful workplace culture fosters a sense of belonging among our employees, builds a stronger team, and allows individual employees the opportunity to maximise their personal potential.

#LI-RM

#MLEAJD

At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. The advanced analytics, technology solutions and contract research services we provide to the life sciences industry are made possible by our 67,000+ employees around the world who apply their insight, curiosity and intellectual courage every step of the way. Learn more at jobs.iqvia.com.

Apply Now!",,Biotech & Pharmaceuticals,"London, England",Junior Data Scientist,3.7,$2 to $5 billion (USD),Biotech & Pharmaceuticals,10000+ Employees,Company - Public,2017
