,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Type,Year Founded
0,AlayaCare,"Do you believe that recent advancements in AI can help patients receive better care in the comfort of their own homes?

Alayalabs is looking for a passionate and experienced Data Scientist who is excited to build useful data-powered decision support tools to help solve problems in the world of homecare. This could range from helping homecare agencies understand trends in their data to building machine learning (ML) models to be used in AlayaCare's core platform.

The Data Scientist's responsibilities include guiding a junior data science team to gain useful insight out of the data, planning projects and building analytics models. The position will also require presenting to clients and CEOs in the industry with your latest research. You should have a strong problem-solving ability and a knack for statistical analysis. If you're also able to align our data products with our business goals, we'd like to meet you. Your ultimate goal will be to help improve our products by leveraging our data.

Responsibilities
Guide team of junior data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Build analytic systems and predictive models
Test performance of data-driven products
Visualize data in Looker dashboards and create reports
Experiment with new models and techniques
Align data projects with organizational goals
AlayaLabs will support the candidate with project managers and developers, but the chosen candidate should know how to structure a project and communicate technical specs to a dev team.

About the team

AlayaLabsis arevenue generating, strategic group that helps driveproduct strategy, and fosters innovation for AlayaCare. Its goal is to build the bridge from what science can deliver, to what concretely allows ourclients to become more efficientthrough the use ofour platform.

We do this by leveraging proven and emerging technologies:
Machine Learning
Optimization Algorithms
Natural Language Processing
Computer Vision
Time series analysis
Deep Learning (Neural Networks)
Transfer learning
Optical character recognition
Voice to text transcription
Requirements
Proven experience as a Data Scientist or similar role
Solid understanding of machine learning
Knowledge of data management and visualization techniques
Knowledge of Looker is an asset
A knack for statistical analysis and predictive modeling
Some experience with using NLP models
Good knowledge of Python and MATLAB
Experience with SQL databases
Strong organizational and leadership skills
Excellent communication skills
A business mindset Degree in Computer Science, Data Science, Mathematics or similar field",,Enterprise Software & Network Solutions,Montreal,Data Scientist,4.4,Unknown / Non-Applicable,Information Technology,201 to 500 Employees,Company - Private,2014
1,Special Risk Insurance Managers Ltd.,"Be a part of a dynamic and growing team at Special Risk Insurance Managers Ltd, a leading Canadian provider of niche and specialty Insurance products. We currently have an opening for a Data Analyst.
Duties & Personal Attributes:
Design, develop, compile and prepare reports.
Provide timely analytics to leadership team to assist in decision making and identify gaps.
Ability to prioritize and complete assignments efficiently and with a high degree of accuracy
Ability to work under pressure and meet deadlines
Strong understanding of Microsoft Office Suite and Google Sheets
Experience:
5 years in the insurance industry.
Actuarial knowledge & experience
Excellent time management, organizational, and problem solving skills.
University degree preferably in IT, Math, Finance or Business.
Strong communication skills.
Job Type: Full-time
Benefits:
Dental care
Employee assistance program
Extended health care
Schedule:
8 hour shift
Experience:
Insurance: 5 years (Preferred)
Work remotely:
Yes, temporarily due to COVID-19",,,Langley,Data Analyst,,,,,,
2,Syniti,"Syniti was founded to solve business’ complex data challenges, bringing synergy between data and business, delivering confidence and progress along clients’ business transformation journey. Through a combination of unique data expertise, services, and intelligent software leveraging artificial intelligence and machine learning, we help clients manage their data journey from data conversion to data quality, data archival and replication, master data management, analytics, information governance, and data strategy.

Utilizing the market’s top data specialists, validated industry knowledge and proven methodologies, Syniti has led thousands of successful data journey projects for Forbes Global 2000 organizations. SAP resells Syniti products as part of the Solution Extension Partner program.

Syniti is a purpose-driven company. “We’re embracing the future together as one – with our employees, clients and partners – accelerating global and human progress, one data challenge at a time.”

Headquartered in Boston, MA, Syniti operates in 25 countries around the globe.

Position Summary


As a Data Analyst, you will help our clients address some of their biggest data challenges. You will develop a diverse set of core consulting skills, such as business analysis, process improvement and technical expertise. You will be a key contributor to the consulting team at different phases of the project including discovery, solution generation, design/architecture and the detailing of the overall process. Over time, you’ll play a pivotal role in helping us drive the successful delivery of new solutions to our clients every day.

Primary Responsibilities:
Deliver unique technology and business solutions to clients across industries, including; Financial Services, Pharma & Life Sciences, Manufacturing and Utilities
Work closely with other consultants on customer site as a part of small to large size project teams
Participate in team problem solving efforts and offer ideas to solve client issues
Conduct requirements analysis, data analysis and create reports
Assist in the customization and configuration of the solution
Maintain responsibility for completion and accuracy of work products
Actively expand consulting skills and professional development through training courses, mentoring, and daily interaction with clients
Observe and foster best practices in business process design and implementation
Maintain engagement utilization requirement
Qualifications:


Bachelor’s Degree in Computer Science, Information Systems or related analytical or technical disciplines
1+ years of ERP techno-functional or functional experience, SAP preferred
Proficient in MS SQL (query skills, table structure and relational databases)
Experience with data quality analysis, statistical analysis and/or modeling
Experience mining and analyzing transactional electronic data with competency in one or more of the following: SAS, SQL or other software tools
Advanced proficiency with MS Office Suite, specifically Excel, Office and Word
Experience using collaboration tools such as Skype, Zoom, Hangouts, Slack etc
Proven experience effectively prioritizing workload to meet deadlines and work objectives
Demonstrated ability to present clearly, succinctly and in a manner that appeals to a wide audience
Superior customer service skills, preferably demonstrated by experience working directly with customers
Ability to adapt to changing environments and pick up new skills quickly
Excellent written and verbal communication skills
Self-starter with the ability to self-motivate in fast paced environments
Strong drive for achieving results under pressure
Syniti offers a generous benefits package that includes medical, 401k, long term disability, life insurance and a paid time off program.

If you are interested in this or any one of the exciting career opportunities at Syniti®, please go to www.syniti.com and view our Careers section, where you should complete the on-line application process.",,IT Services,Moncton,Data Analyst,3.7,$100 to $500 million (USD),Information Technology,501 to 1000 Employees,Company - Private,1996
3,Points International,"Company Description

As a trusted partner to the world’s leading loyalty programs, Points builds, powers, and grows new ways for members to get and use their favorite loyalty currency. We only succeed when our partners do.

Our casual, collaborative environment is where our strong workplace culture begins. Our people are what make us great, so we empower them with the freedom to think big and the resources to make things happen. We communicate directly, lead by example, and make sure our team members know how much they are appreciated. Passion for life and work is important to us, and we want to see it in you, too!

Job Description

Points is looking for a results-oriented, experienced Data Scientist to join our advanced Analytics and Data Science team based in our downtown Toronto office.

The Data Scientist is a key role in delivering the advanced analytics/predictive modelling capability within our organization and on behalf of our valued Loyalty Partners.

As a Data Scientist, you will be working in fast-paced environment, actively supporting fact based decision making across the enterprise. You will have exposure to all of Points LOBs (lines of business), advanced marketing & merchandising capabilities, customer database & channels and will actively support revenue generation & capability enhancements. Your key responsibilities include:
Powering revenue growth through the design and implementation of algorithms, machine learning & decision intelligence. This includes promo, price & assortment optimization, including dynamic personalized recommendations at the customer & product level
Researching, designing and implementing analytical models and algorithms that will be utilized for promotion, pricing, product, media & revenue optimization.
Analyzing & distilling loyalty insights from diverse data sets (member, segment & program level)
Enabling best in class offer generation (customer targeting & offer assignment) & optimization based on all the available data, scores & model outputs.
Elevate the data science discipline by providing coaching & thought leadership to junior members of the technical team.
Qualifications
Masters or PhD in Physics/Math/Computer Science/Statistics or equivalent
Over 5 years’ experience applying Data Science including but not limited to econometric modeling, classification and prediction models, time series analysis, clustering, recommender systems
Deep understanding of ML algorithms (from linear regression to neural networks)
Strong Python, SQL and analytical skills
Familiarity with data warehousing, data processing pipelines and data structures
Ability to communicate/present complex ideas/analysis in a concise, business-friendly manner
Natural curiosity to solve problems and find meaning in complex data sets & customer behaviour analysis.
Strong business acumen to apply recommendations in the proper commercial context.
Additional Information

Building a great company culture is as vital to us as building a great business. Over the last 5 years, Points has been the recipient of the following awards:
Canada’s Top Small and Medium Employers
Greater Toronto’s Top Employers
Great Places to Work (GPTW) Canada
Best Workplaces for Women
Best Workplaces for Mental Wellness
Best Workplaces for Technology
Best Workplaces for Millennials
Here are some of the perks that are included in our Points culture:
We want to celebrate with you: all employees get an extra day off for their Birthdays!
Flexible work hours and casual dress every day
Green commuter and fitness subsidies
Super fun corporate events
Points is an equal opportunity employer and is committed to providing an accessible recruitment process.

Upon request we will provide accommodation for applicants with disabilities.

All your information will be kept confidential.",,Internet,Toronto,Data Scientist,3.6,$100 to $500 million (USD),Information Technology,201 to 500 Employees,Company - Public,2001
4,Spin Master Ltd,"Are you looking to further your career with an industry leading, global children's entertainment company?

At Spin Master, our unwavering commitment to open mindedness, integrity and innovation is a great part of what has made us an industry leader. How do we stay ahead of the pack? By hiring the best and brightest minds—and that’s why we want you!

What's it like to work here?
Spin Master is a fast-paced, hands-on organization that provides many great opportunities for impactful decision-making; we are building a legacy and welcome individuals with a proven track record of driving results.
Job Description:
The role:
Provide quantitative analysis to key stakeholders to drive growth in the business
Strong business acumen and enjoy telling stories with data
Bring insights to optimize our business today and plan strategically for the future
