,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Year Founded
0,AlayaCare,"Do you believe that recent advancements in AI can help patients receive better care in the comfort of their own homes?

Alayalabs is looking for a passionate and experienced Data Scientist who is excited to build useful data-powered decision support tools to help solve problems in the world of homecare. This could range from helping homecare agencies understand trends in their data to building machine learning (ML) models to be used in AlayaCare's core platform.

The Data Scientist's responsibilities include guiding a junior data science team to gain useful insight out of the data, planning projects and building analytics models. The position will also require presenting to clients and CEOs in the industry with your latest research. You should have a strong problem-solving ability and a knack for statistical analysis. If you're also able to align our data products with our business goals, we'd like to meet you. Your ultimate goal will be to help improve our products by leveraging our data.

Responsibilities
Guide team of junior data scientists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan and prioritize data projects
Build analytic systems and predictive models
Test performance of data-driven products
Visualize data in Looker dashboards and create reports
Experiment with new models and techniques
Align data projects with organizational goals
AlayaLabs will support the candidate with project managers and developers, but the chosen candidate should know how to structure a project and communicate technical specs to a dev team.

About the team

AlayaLabsis arevenue generating, strategic group that helps driveproduct strategy, and fosters innovation for AlayaCare. Its goal is to build the bridge from what science can deliver, to what concretely allows ourclients to become more efficientthrough the use ofour platform.

We do this by leveraging proven and emerging technologies:
Machine Learning
Optimization Algorithms
Natural Language Processing
Computer Vision
Time series analysis
Deep Learning (Neural Networks)
Transfer learning
Optical character recognition
Voice to text transcription
Requirements
Proven experience as a Data Scientist or similar role
Solid understanding of machine learning
Knowledge of data management and visualization techniques
Knowledge of Looker is an asset
A knack for statistical analysis and predictive modeling
Some experience with using NLP models
Good knowledge of Python and MATLAB
Experience with SQL databases
Strong organizational and leadership skills
Excellent communication skills
A business mindset Degree in Computer Science, Data Science, Mathematics or similar field",-1,Enterprise Software & Network Solutions,Montreal,Data Scientist,4.4,Unknown / Non-Applicable,Information Technology,201 to 500 Employees,2014
1,Syniti,"Syniti was founded to solve business’ complex data challenges, bringing synergy between data and business, delivering confidence and progress along clients’ business transformation journey. Through a combination of unique data expertise, services, and intelligent software leveraging artificial intelligence and machine learning, we help clients manage their data journey from data conversion to data quality, data archival and replication, master data management, analytics, information governance, and data strategy.

Utilizing the market’s top data specialists, validated industry knowledge and proven methodologies, Syniti has led thousands of successful data journey projects for Forbes Global 2000 organizations. SAP resells Syniti products as part of the Solution Extension Partner program.

Syniti is a purpose-driven company. “We’re embracing the future together as one – with our employees, clients and partners – accelerating global and human progress, one data challenge at a time.”

Headquartered in Boston, MA, Syniti operates in 25 countries around the globe.

Position Summary


As a Data Analyst, you will help our clients address some of their biggest data challenges. You will develop a diverse set of core consulting skills, such as business analysis, process improvement and technical expertise. You will be a key contributor to the consulting team at different phases of the project including discovery, solution generation, design/architecture and the detailing of the overall process. Over time, you’ll play a pivotal role in helping us drive the successful delivery of new solutions to our clients every day.

Primary Responsibilities:
Deliver unique technology and business solutions to clients across industries, including; Financial Services, Pharma & Life Sciences, Manufacturing and Utilities
Work closely with other consultants on customer site as a part of small to large size project teams
Participate in team problem solving efforts and offer ideas to solve client issues
Conduct requirements analysis, data analysis and create reports
Assist in the customization and configuration of the solution
Maintain responsibility for completion and accuracy of work products
Actively expand consulting skills and professional development through training courses, mentoring, and daily interaction with clients
Observe and foster best practices in business process design and implementation
Maintain engagement utilization requirement
Qualifications:


Bachelor’s Degree in Computer Science, Information Systems or related analytical or technical disciplines
1+ years of ERP techno-functional or functional experience, SAP preferred
Proficient in MS SQL (query skills, table structure and relational databases)
Experience with data quality analysis, statistical analysis and/or modeling
Experience mining and analyzing transactional electronic data with competency in one or more of the following: SAS, SQL or other software tools
Advanced proficiency with MS Office Suite, specifically Excel, Office and Word
Experience using collaboration tools such as Skype, Zoom, Hangouts, Slack etc
Proven experience effectively prioritizing workload to meet deadlines and work objectives
Demonstrated ability to present clearly, succinctly and in a manner that appeals to a wide audience
Superior customer service skills, preferably demonstrated by experience working directly with customers
Ability to adapt to changing environments and pick up new skills quickly
Excellent written and verbal communication skills
Self-starter with the ability to self-motivate in fast paced environments
Strong drive for achieving results under pressure
Syniti offers a generous benefits package that includes medical, 401k, long term disability, life insurance and a paid time off program.

If you are interested in this or any one of the exciting career opportunities at Syniti®, please go to www.syniti.com and view our Careers section, where you should complete the on-line application process.",-1,IT Services,Moncton,Data Analyst,3.7,$100 to $500 million (USD),Information Technology,501 to 1000 Employees,1996
2,Uken Games,"Uken is looking for someone passionate about working at the intersection of player behaviour and performance marketing. You will work to identify opportunities within our growth operations, develop analytical approaches to capitalize on them and share recommendations proactively with the team. You will be a direct contributor to evolving the way we grow our games having a direct impact on their financial success.

You’ll be working on meaningful things like:
Answering business related questions through exploratory data analyses and ad-hoc reporting that drives acquisition, retention and monetization
Building data visualizations used by the Growth and Leadership teams
Designing and interpreting A/B tests to get the most out of our marketing process and creative
Developing our marketing tools with a focus on creative insight and automation
Continually trying to improve and grow our performance marketing operations
Deep diving into user behaviour to unlock value for the growth team
Collaborating across data teams in the organization to improve data driven decision making
Your background should include:
2+ years writing complex queries in SQL preferably Redshift
Proficiency in Python and/or statistical modeling
Attention to detail and proven organization and analytical skills
Ability to communicate and present information clearly
An appetite to learn, grow, and take on increasingly more responsibility
A desire to answer questions that drive business outcomes
Passion / knowledge of the mobile gaming industry
It'd be a big plus if you have:
Previous experience at a startup or mobile game/app company
Degree in statistics, economics, math or a related field
Experience in Digital Advertising Space
We believe in a fun and meaningful work environment:
You'll be equipped with a high-end laptop, monitor and mobile device
Competitive salary and stock options
Full health, dental and vision coverage
Fully catered lunch, breakfast and snack-filled kitchen (in-office)
Uken social nights including social mixers, games night and more…
Convenient location at the corner of John & Front St.
Note: Due to Covid-19 precautions, this role will begin as a work from home position and will move to the office when the office re-opens.

About Us

Uken builds games that people everywhere love. Who Wants To Be A Millionaire? and Jeopardy! World Tour are the top 2 trivia games, engaging millions of global players every month.

We consider ourselves data driven designers, technologists, and artists. Through collaboration, we pair the craft of design with feedback and data to deliver a pace and rhythm in each game session that immerses our audience and leaves them wanting more. We have a quirky, nerdy culture that fosters creativity, collaboration, quality ideas, and a data driven mindset. We believe in moving quickly and improving constantly and that mantra is reflected in the weekly updates we make to our games and internal technologies. We have an appetite for pushing technical boundaries with a focus on practical use.

We take entertainment seriously.

Uken welcomes applications from visible minority group members, women, Aboriginal persons, persons with disabilities, members of sexual minority groups, and others who would contribute to the further diversification of our team.

Uken is committed to offering reasonable accommodation to job applicants with disabilities. If you need assistance or accommodation due to a disability, please contact us at jobs@uken.com",-1,Audiovisual,Toronto,Data Analyst,4.4,Unknown / Non-Applicable,"Arts, Entertainment & Recreation",51 to 200 Employees,2009
3,Spin Master Ltd,"Please Note: If you are a current Spin Master employee with access to Workday, apply to this job via the Workday application.
Are you looking to further your career with an industry leading, global children's entertainment company?

At Spin Master, our unwavering commitment to open mindedness, integrity and innovation is a great part of what has made us an industry leader. How do we stay ahead of the pack? By hiring the best and brightest mindsand thats why we want you!


What's it like to work here?


Spin Master is a fast-paced, hands-on organization that provides many great opportunities for impactful decision-making; we are building a legacy and welcome individuals with a proven track record of driving results.
Job Description:

The role:
Provide quantitative analysis to key stakeholders to drive growth in the business
Strong business acumen and enjoy telling stories with data
Bring insights to optimize our business today and plan strategically for the future
Generate tactical and strategic recommendations to improve marketing effectiveness
Partner with senior leaders to evangelize data-driven business decisions and prioritize projects
What can we expect from you:
Develop statistical and machine learning algorithms to measure effectiveness of marketing
Design experiments and casual inference methods to find actionable insights
Build and maintain a data pipeline that can support complex data projects at scale
Manage and prioritize ad hoc requests for analysis from GBUs and COEs.
Develop core business metrics and create automated dashboards to track performance
Perform analysis on market conditions and overall trends using third party data sources
Drive forecasting model to be used in Integrated Marketing Reviews and Planning
Conduct Marketing Mix Measurement, campaign analysis, program optimization, customer segmentation, ROI analysis, and predictive modeling
Influence data science roadmap by performing exploratory analysis
Provide technical guidance and mentorship to junior team members on solution design
Create a set of heuristics backed by data that predicts product success
Whos a good fit for this role:
Exceptional written and verbal communication skills, including ability to lead discussions with audiences of varying technical ability
Self-starter attitude with sharp business judgement
High attention to detail
Working knowledge of marketing mathematical tools and methods, marketing test and learn plans, ROI development and data mining/multivariate analysis
