,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
0,Capital One,Data Scientist,"CA$76,883/yr",CA$73K,CA$125K,"CA$76,883","CA$5,885","CA$5,885","CA$3,272"
1,RBC,Data Scientist,"CA$90,000/yr",CA$55K,CA$135K,"CA$90,000","CA$12,589","CA$11,983","CA$3,147"
2,Scotiabank,Data Scientist,"CA$96,176/yr",CA$74K,CA$103K,"CA$96,176","CA$10,051","CA$10,051","CA$3,327"
3,TD,Data Scientist,"CA$79,473/yr",CA$50K,CA$129K,"CA$79,473","CA$6,062","CA$6,062","CA$2,393"
4,Banque Nationale du Canada/National Bank of Canada,Data Scientist,"CA$74,945/yr",CA$71K,CA$90K,"CA$74,945","CA$5,045","CA$5,045","CA$1,536"
5,Loblaw Companies,Data Scientist,"CA$90,000/yr",CA$12K,CA$107K,"CA$90,000","CA$9,000","CA$10,008","CA$5,000"
6,Shopify,Data Scientist,"CA$95,489/yr",CA$85K,CA$115K,"CA$95,489",No Reports,,"CA$32,840"
7,Bell Canada,Data Scientist,"CA$80,501/yr",CA$66K,CA$108K,"CA$80,501","CA$11,442","CA$11,442",
8,RBC,Data Scientist - Hourly Intern,CA$27/hr,CA$21,CA$30,,,,
9,IBM,Data Scientist,"CA$85,187/yr",CA$71K,CA$87K,"CA$85,187",CA$509,CA$509,
10,Rogers Communications,Data Scientist,"CA$91,429/yr",CA$70K,CA$121K,"CA$91,429","CA$16,989","CA$16,989","CA$18,956"
11,Deloitte,Data Scientist,"CA$70,052/yr",CA$61K,CA$90K,"CA$70,052",CA$6,CA$6,
12,Boeing,Data Scientist,"CA$100,253/yr",CA$74K,CA$108K,"CA$100,253","CA$3,147","CA$3,147",
13,Intact,Data Scientist - Hourly Intern,CA$29/hr,CA$22,CA$33,,,,
14,Stradigi AI,Data Scientist,"CA$75,110/yr",CA$70K,CA$82K,"CA$75,110",No Reports,,
15,Scotiabank,Data Scientist - Intern,"CA$63,171/yr",CA$57K,CA$82K,,,,
16,HSBC Holdings,Data Scientist - Hourly Intern,CA$30/hr,CA$30,CA$33,,,,
17,Intact,Data Scientist,"CA$82,500/yr",CA$76K,CA$87K,CA$29,No Reports,,
18,ATB Financial,Data Scientist,"CA$80,872/yr",CA$70K,CA$115K,"CA$80,872","CA$5,000","CA$5,000",
19,AeroInfo Systems,Data Scientist,"CA$81,545/yr",CA$79K,CA$99K,"CA$81,545","CA$5,981","CA$5,981",
20,CIBC,Data Scientist - Hourly Intern,CA$27/hr,CA$21,CA$30,,,,
21,University of British Columbia,Data Scientist,"CA$76,000/yr",CA$41K,CA$80K,"CA$76,000",No Reports,,
22,Shopify,Data Scientist - Hourly Intern,CA$37/hr,CA$31,CA$41,,,,
23,Ericsson-Worldwide,Data Scientist,"CA$137,112/yr",CA$67K,CA$181K,"CA$137,112",CA$25,,CA$25
24,LoyaltyOne,Data Scientist,"CA$92,921/yr",CA$74K,CA$97K,"CA$92,921","CA$11,306","CA$11,306",
25,Aviva Canada,Data Scientist,"CA$97,276/yr",CA$69K,CA$115K,"CA$97,276","CA$16,500","CA$16,500",
26,Thomson Reuters,Data Scientist - Hourly Intern,CA$40/hr,CA$35,CA$40,,,,
27,Boston Consulting Group,Data Scientist,"CA$130,000/yr",CA$100K,CA$130K,"CA$130,000","CA$32,500","CA$32,500","CA$8,000"
28,Geotab,Data Scientist,"CA$80,235/yr",CA$65K,CA$95K,"CA$80,235",No Reports,,
29,Precima,Data Scientist,"CA$80,117/yr",CA$80K,CA$85K,"CA$80,117","CA$4,103","CA$4,103",
30,Scotiabank,Data Scientist - Hourly Intern,$28 - CA$36hourly,CA$28,CA$36,,,,
31,CIBC,Data Scientist,$83K - CA$94K,CA$83K,CA$94K,CA$27,No Reports,,
32,IBM,Data Scientist - Hourly Intern,$30 - CA$34hourly,CA$30,CA$34,,,,
33,IBM,Data Scientist - Monthly Intern,$4K - CA$5K,CA$4K,CA$5K,,,,
34,TELUS,Data Scientist,$96K - CA$107K,CA$96K,CA$107K,CA$96K - CA$107K,CA$96K - CA$107K,CA$14K - CA$16K,
35,Deloitte,Data Scientist - Hourly Intern,$20 - CA$28hourly,CA$20,CA$28,,,,
36,Deloitte,Data Scientist - Intern,$53K - CA$67K,CA$53K,CA$67K,,,,
37,KPMG,Data Scientist,$67K - CA$74K,CA$67K,CA$74K,CA$67K - CA$75K,CA$67K - CA$75K,,
38,Manulife,Data Scientist,$76K - CA$93K,CA$76K,CA$93K,CA$77K - CA$93K,CA$77K - CA$93K,CA$10K - CA$17K,CA$4K - CA$4K
39,Bombardier,Data Scientist - Hourly Intern,$19 - CA$21hourly,CA$19,CA$21,,,,
40,Canada Post,Data Scientist,$90K - CA$105K,CA$90K,CA$105K,CA$88K - CA$105K,CA$88K - CA$105K,CA$5K - CA$10K,
41,Electronic Arts,Data Scientist,$93K - CA$136K,CA$93K,CA$136K,CA$93K - CA$137K,CA$93K - CA$137K,CA$1K - CA$26K,CA$72K - CA$79K
42,Ubisoft,Data Scientist,$72K - CA$124K,CA$72K,CA$124K,CA$72K - CA$125K,CA$72K - CA$125K,CA$6K - CA$13K,
43,CN,Data Scientist,$63K - CA$115K,CA$63K,CA$115K,CA$63K - CA$115K,CA$63K - CA$115K,CA$6K - CA$7K,
44,Capital One,Data Scientist - Hourly Intern,$25 - CA$35hourly,CA$25,CA$35,,,,
45,Morgan Stanley,Data Scientist - Contractor,$130K - CA$164K,CA$130K,CA$164K,,,,
46,Teck Resources,Data Scientist,$77K - CA$88K,CA$77K,CA$88K,CA$77K - CA$88K,CA$77K - CA$88K,CA$10K - CA$10K,
47,Statistics Canada,Data Scientist - Hourly Intern,$19 - CA$24hourly,CA$19,CA$24,,,,
48,Statistics Canada,Data Scientist,$57K - CA$82K,CA$57K,CA$82K,CA$57K - CA$83K,CA$57K - CA$83K,,
49,Moneris,Data Scientist - Hourly Intern,$20 - CA$22hourly,CA$20,CA$22,,,,
50,Flipp,Data Scientist,$84K - CA$115K,CA$84K,CA$115K,CA$82K - CA$115K,CA$82K - CA$115K,CA$8K - CA$13K,CA$5K - CA$5K
51,Aimia,Data Scientist,$60K - CA$100K,CA$60K,CA$100K,CA$61K - CA$102K,CA$61K - CA$102K,CA$14K - CA$15K,
52,ecobee,Data Scientist,$98K - CA$132K,CA$98K,CA$132K,CA$99K - CA$132K,CA$99K - CA$132K,,
53,IQVIA,Data Scientist,$79K - CA$104K,CA$79K,CA$104K,CA$79K - CA$104K,CA$79K - CA$104K,CA$8K - CA$13K,
54,Realtor.com,Data Scientist,$89K - CA$103K,CA$89K,CA$103K,CA$89K - CA$103K,CA$89K - CA$103K,CA$1 - CA$1K,
55,Equifax,Data Scientist,$101K - CA$124K,CA$101K,CA$124K,CA$102K - CA$123K,CA$102K - CA$123K,CA$10K - CA$11K,CA$5K - CA$6K
56,Pelmorex Corp,Data Scientist,$86K - CA$94K,CA$86K,CA$94K,CA$86K - CA$93K,CA$86K - CA$93K,,
57,Hothead Games,Data Scientist,$50K - CA$126K,CA$50K,CA$126K,CA$51K - CA$127K,CA$51K - CA$127K,,
58,Sysomos,Data Scientist - Hourly Intern,$25 - CA$27hourly,CA$25,CA$27,,,,
59,Enel X,Data Scientist,$89K - CA$96K,CA$89K,CA$96K,CA$89K - CA$97K,CA$89K - CA$97K,,
60,Two Hat Security,Data Scientist,$65K - CA$74K,CA$65K,CA$74K,CA$64K - CA$73K,CA$64K - CA$73K,,
61,NuData Security,Data Scientist,$103K - CA$115K,CA$103K,CA$115K,CA$103K - CA$115K,CA$103K - CA$115K,CA$10K - CA$11K,
62,POWERSHiFTER,Data Scientist - Hourly Contractor,$24 - CA$27hourly,CA$24,CA$27,,,,
63,Efficiency One,Data Scientist,$57K - CA$62K,CA$57K,CA$62K,CA$57K - CA$62K,CA$57K - CA$62K,,
64,Knowtions,Data Scientist,$80K - CA$105K,CA$80K,CA$105K,CA$81K - CA$104K,CA$81K - CA$104K,,
65,TD,Data Scientist - Hourly Intern,$24 - CA$25hourly,CA$24,CA$25,,,,
66,TD,Data Scientist - Hourly,$24 - CA$26hourly,CA$24,CA$26,CA$24 - CA$26,CA$24 - CA$26,,
67,TD,Data Scientist - Intern,$44K - CA$47K,CA$44K,CA$47K,,,,
68,RBC,Data Scientist - Monthly,$8K - CA$9K,CA$8K,CA$9K,"CA$90,000","CA$12,589","CA$11,983","CA$3,147"
69,RBC,Data Scientist - Hourly Contractor,$27 - CA$29hourly,CA$27,CA$29,,,,
70,Scotiabank,Data Scientist - Monthly Intern,$5K - CA$5K,CA$5K,CA$5K,,,,
71,University of Toronto,Data Scientist,$68K - CA$73K,CA$68K,CA$73K,CA$67K - CA$72K,CA$67K - CA$72K,,
72,Walmart,Data Scientist - Hourly Contractor,$34 - CA$36hourly,CA$34,CA$36,,,,
73,BMO Financial Group,Data Scientist - Intern,$44K - CA$47K,CA$44K,CA$47K,,,,
74,BMO Financial Group,Data Scientist,$10K - CA$10K,CA$10K,CA$10K,CA$10K - CA$10K,CA$10K - CA$10K,,
75,Loblaw Companies,Data Scientist - Hourly,$14 - CA$15hourly,CA$14,CA$15,CA$14 - CA$15,CA$14 - CA$15,,
76,Loblaw Companies,Data Scientist - Hourly Intern,$27 - CA$30hourly,CA$27,CA$30,,,,
77,Loblaw Companies,Data Scientist - Contractor,$76K - CA$84K,CA$76K,CA$84K,,,,
78,BlackBerry,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,CA$22 - CA$24,CA$22 - CA$24,,
79,BlackBerry,Data Scientist - Hourly Intern,$23 - CA$24hourly,CA$23,CA$24,,,,
80,University of Waterloo,Data Scientist,$67K - CA$73K,CA$67K,CA$73K,CA$68K - CA$73K,CA$68K - CA$73K,,
81,CGI,Data Scientist - Intern,$48K - CA$52K,CA$48K,CA$52K,,,,
82,Canadian Tire,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,CA$81K - CA$89K,CA$81K - CA$89K,,
83,McMaster University,Data Scientist - Contractor,$63K - CA$68K,CA$63K,CA$68K,,,,
84,Manulife,Data Scientist - Contractor,$105K - CA$114K,CA$105K,CA$114K,,,,
85,BC Hydro,Data Scientist - Hourly Contractor,$39 - CA$42hourly,CA$39,CA$42,,,,
86,Accenture,Data Scientist,$64K - CA$70K,CA$64K,CA$70K,CA$65K - CA$70K,CA$65K - CA$70K,,
87,McGill University,Data Scientist,$43K - CA$47K,CA$43K,CA$47K,CA$43K - CA$47K,CA$43K - CA$47K,,
88,SAP,Data Scientist - Hourly,$24 - CA$26hourly,CA$24,CA$26,CA$24 - CA$26,CA$24 - CA$26,,
89,SAP,Data Scientist - Hourly Intern,$24 - CA$26hourly,CA$24,CA$26,,,,
90,Ryerson University,Data Scientist,$50K - CA$53K,CA$50K,CA$53K,CA$49K - CA$53K,CA$49K - CA$53K,,
91,University of Calgary,Data Scientist,$78K - CA$86K,CA$78K,CA$86K,CA$79K - CA$85K,CA$79K - CA$85K,,
92,Sun Life,Data Scientist,$98K - CA$106K,CA$98K,CA$106K,CA$98K - CA$106K,CA$98K - CA$106K,,
93,Government of Canada,Data Scientist,$67K - CA$72K,CA$67K,CA$72K,CA$67K - CA$72K,CA$67K - CA$72K,,
94,Banque Nationale du Canada/National Bank of Canada,Data Scientist,$74K - CA$79K,CA$74K,CA$79K,"CA$74,945","CA$5,045","CA$5,045","CA$1,536"
95,Banque Nationale du Canada/National Bank of Canada,Data Scientist - Intern,$58K - CA$62K,CA$58K,CA$62K,,,,
96,Ubisoft,Data Scientist - Intern,$29K - CA$32K,CA$29K,CA$32K,,,,
97,Carleton University,Data Scientist,$310K - CA$342K,CA$310K,CA$342K,CA$313K - CA$339K,CA$313K - CA$339K,,
98,Shopify,Data Scientist - Intern,$92K - CA$99K,CA$92K,CA$99K,,,,
99,Shopify,Data Scientist - Intern,$74K - $82K,$74K,$82K,,,,
100,Shopify,Data Scientist - Monthly Intern,$6K - CA$6K,CA$6K,CA$6K,,,,
101,Microsoft,Data Scientist,$97K - CA$105K,CA$97K,CA$105K,CA$97K - CA$105K,CA$97K - CA$105K,,
102,ATB Financial,Data Scientist - Hourly,$57 - CA$62hourly,CA$57,CA$62,CA$57 - CA$63,CA$57 - CA$63,,
103,GoodLife Fitness,Data Scientist,$61K - CA$66K,CA$61K,CA$66K,CA$60K - CA$65K,CA$60K - CA$65K,CA$4K - CA$4K,
104,MNP LLP,Data Scientist,$97K - CA$104K,CA$97K,CA$104K,CA$96K - CA$105K,CA$96K - CA$105K,,
105,Concordia University,Data Scientist,$21K - CA$23K,CA$21K,CA$23K,CA$21K - CA$23K,CA$21K - CA$23K,,
106,Cisco Systems,Data Scientist,$81K - CA$88K,CA$81K,CA$88K,CA$41 - CA$44,CA$41 - CA$44,,
107,Cisco Systems,Data Scientist - Hourly Intern,$40 - CA$44hourly,CA$40,CA$44,,,,
108,Morgan Stanley,Data Scientist,$58K - CA$63K,CA$58K,CA$63K,CA$131K - CA$163K,CA$131K - CA$163K,,
109,LoyaltyOne,Data Scientist - Intern,$48K - CA$52K,CA$48K,CA$52K,,,,
