,company,position,salary,lower_bound_salary,upper_bound_salary,url
0,Capital One,Data Scientist,"CA$76,883/yr",CA$73K,CA$125K,"/Salary/Capital-One-Data-Scientist-Canada-Salaries-EJI_IE3736.0,11_KO12,26_IL.27,33_IN3.htm"
1,RBC,Data Scientist,"CA$90,000/yr",CA$55K,CA$135K,"/Salary/RBC-Data-Scientist-Canada-Salaries-EJI_IE3358.0,3_KO4,18_IL.19,25_IN3.htm"
2,Scotiabank,Data Scientist,"CA$96,176/yr",CA$74K,CA$103K,"/Salary/Scotiabank-Data-Scientist-Canada-Salaries-EJI_IE11013.0,10_KO11,25_IL.26,32_IN3.htm"
3,TD,Data Scientist,"CA$79,473/yr",CA$50K,CA$129K,"/Salary/TD-Data-Scientist-Canada-Salaries-EJI_IE3767.0,2_KO3,17_IL.18,24_IN3.htm"
4,Banque Nationale du Canada/National Bank of Canada,Data Scientist,"CA$74,945/yr",CA$71K,CA$90K,"/Salary/Banque-Nationale-du-Canada-National-Bank-of-Canada-Data-Scientist-Canada-Salaries-EJI_IE8010.0,50_KO51,65_IL.66,72_IN3.htm"
5,Loblaw Companies,Data Scientist,"CA$90,000/yr",CA$12K,CA$107K,"/Salary/Loblaw-Companies-Data-Scientist-Canada-Salaries-EJI_IE4141.0,16_KO17,31_IL.32,38_IN3.htm"
6,Shopify,Data Scientist,"CA$95,489/yr",CA$85K,CA$115K,"/Salary/Shopify-Data-Scientist-Canada-Salaries-EJI_IE675933.0,7_KO8,22_IL.23,29_IN3.htm"
7,Bell Canada,Data Scientist,"CA$80,501/yr",CA$66K,CA$108K,"/Salary/Bell-Canada-Data-Scientist-Canada-Salaries-EJI_IE118159.0,11_KO12,26_IL.27,33_IN3.htm"
8,RBC,Data Scientist - Hourly Intern,CA$27/hr,CA$21,CA$30,"/Intern-Salary/RBC-Canada-Internship-Salary-EI_IE3358.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist"
9,IBM,Data Scientist,"CA$85,187/yr",CA$71K,CA$87K,"/Salary/IBM-Data-Scientist-Canada-Salaries-EJI_IE354.0,3_KO4,18_IL.19,25_IN3.htm"
10,Rogers Communications,Data Scientist,"CA$91,429/yr",CA$70K,CA$121K,"/Salary/Rogers-Communications-Data-Scientist-Canada-Salaries-EJI_IE3783.0,21_KO22,36_IL.37,43_IN3.htm"
11,Deloitte,Data Scientist,"CA$70,052/yr",CA$61K,CA$90K,"/Salary/Deloitte-Data-Scientist-Canada-Salaries-EJI_IE2763.0,8_KO9,23_IL.24,30_IN3.htm"
12,Boeing,Data Scientist,"CA$100,253/yr",CA$74K,CA$108K,"/Salary/Boeing-Data-Scientist-Canada-Salaries-EJI_IE102.0,6_KO7,21_IL.22,28_IN3.htm"
13,Intact,Data Scientist - Hourly Intern,CA$29/hr,CA$22,CA$33,"/Intern-Salary/Intact-Canada-Internship-Salary-EI_IE329903.0,6_IL.7,13_IN3.htm?filter.jobTitleFTS=Data+Scientist"
14,Stradigi AI,Data Scientist,"CA$75,110/yr",CA$70K,CA$82K,"/Salary/Stradigi-AI-Data-Scientist-Canada-Salaries-EJI_IE1100639.0,11_KO12,26_IL.27,33_IN3.htm"
15,Scotiabank,Data Scientist - Intern,"CA$63,171/yr",CA$57K,CA$82K,"/Intern-Salary/Scotiabank-Canada-Internship-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist"
16,HSBC Holdings,Data Scientist - Hourly Intern,CA$30/hr,CA$30,CA$33,"/Intern-Salary/HSBC-Holdings-Canada-Internship-Salary-EI_IE3482.0,13_IL.14,20_IN3.htm?filter.jobTitleFTS=Data+Scientist"
17,Intact,Data Scientist,"CA$82,500/yr",CA$76K,CA$87K,"/Salary/Intact-Data-Scientist-Canada-Salaries-EJI_IE329903.0,6_KO7,21_IL.22,28_IN3.htm"
18,ATB Financial,Data Scientist,"CA$80,872/yr",CA$70K,CA$115K,"/Salary/ATB-Financial-Data-Scientist-Canada-Salaries-EJI_IE331202.0,13_KO14,28_IL.29,35_IN3.htm"
19,AeroInfo Systems,Data Scientist,"CA$81,545/yr",CA$79K,CA$99K,"/Salary/AeroInfo-Systems-Data-Scientist-Canada-Salaries-EJI_IE40049.0,16_KO17,31_IL.32,38_IN3.htm"
20,CIBC,Data Scientist - Hourly Intern,CA$27/hr,CA$21,CA$30,"/Intern-Salary/CIBC-Canada-Internship-Salary-EI_IE3115.0,4_IL.5,11_IN3.htm?filter.jobTitleFTS=Data+Scientist"
21,University of British Columbia,Data Scientist,"CA$76,000/yr",CA$41K,CA$80K,"/Salary/University-of-British-Columbia-Data-Scientist-Canada-Salaries-EJI_IE151190.0,30_KO31,45_IL.46,52_IN3.htm"
22,Shopify,Data Scientist - Hourly Intern,CA$37/hr,CA$31,CA$41,"/Intern-Salary/Shopify-Canada-Internship-Salary-EI_IE675933.0,7_IL.8,14_IN3.htm?filter.jobTitleFTS=Data+Scientist"
23,Ericsson-Worldwide,Data Scientist,"CA$137,112/yr",CA$67K,CA$181K,"/Salary/Ericsson-Worldwide-Data-Scientist-Canada-Salaries-EJI_IE3472.0,18_KO19,33_IL.34,40_IN3.htm"
24,LoyaltyOne,Data Scientist,"CA$92,921/yr",CA$74K,CA$97K,"/Salary/LoyaltyOne-Data-Scientist-Canada-Salaries-EJI_IE30540.0,10_KO11,25_IL.26,32_IN3.htm"
25,Aviva Canada,Data Scientist,"CA$97,276/yr",CA$69K,CA$115K,"/Salary/Aviva-Canada-Data-Scientist-Canada-Salaries-EJI_IE137164.0,12_KO13,27_IL.28,34_IN3.htm"
26,Thomson Reuters,Data Scientist - Hourly Intern,CA$40/hr,CA$35,CA$40,"/Intern-Salary/Thomson-Reuters-Canada-Internship-Salary-EI_IE100303.0,15_IL.16,22_IN3.htm?filter.jobTitleFTS=Data+Scientist"
27,Boston Consulting Group,Data Scientist,"CA$130,000/yr",CA$100K,CA$130K,"/Salary/Boston-Consulting-Group-Data-Scientist-Canada-Salaries-EJI_IE3879.0,23_KO24,38_IL.39,45_IN3.htm"
28,Geotab,Data Scientist,"CA$80,235/yr",CA$65K,CA$95K,"/Salary/Geotab-Data-Scientist-Canada-Salaries-EJI_IE922727.0,6_KO7,21_IL.22,28_IN3.htm"
29,Precima,Data Scientist,"CA$80,117/yr",CA$80K,CA$85K,"/Salary/Precima-Data-Scientist-Canada-Salaries-EJI_IE1140584.0,7_KO8,22_IL.23,29_IN3.htm"
30,Scotiabank,Data Scientist - Hourly Intern,$28 - CA$36hourly,CA$28,CA$36,"/Intern-Salary/Scotiabank-Canada-Internship-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist"
31,CIBC,Data Scientist,$83K - CA$94K,CA$83K,CA$94K,"/Salary/CIBC-Data-Scientist-Canada-Salaries-EJI_IE3115.0,4_KO5,19_IL.20,26_IN3.htm"
32,IBM,Data Scientist - Hourly Intern,$30 - CA$34hourly,CA$30,CA$34,"/Intern-Salary/IBM-Canada-Internship-Salary-EI_IE354.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist"
33,IBM,Data Scientist - Monthly Intern,$4K - CA$5K,CA$4K,CA$5K,"/Intern-Salary/IBM-Canada-Internship-Salary-EI_IE354.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist"
34,TELUS,Data Scientist,$96K - CA$107K,CA$96K,CA$107K,"/Salary/TELUS-Data-Scientist-Canada-Salaries-EJI_IE8006.0,5_KO6,20_IL.21,27_IN3.htm"
35,Deloitte,Data Scientist - Hourly Intern,$20 - CA$28hourly,CA$20,CA$28,"/Intern-Salary/Deloitte-Canada-Internship-Salary-EI_IE2763.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist"
36,Deloitte,Data Scientist - Intern,$53K - CA$67K,CA$53K,CA$67K,"/Intern-Salary/Deloitte-Canada-Internship-Salary-EI_IE2763.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist"
37,KPMG,Data Scientist,$67K - CA$74K,CA$67K,CA$74K,"/Salary/KPMG-Data-Scientist-Canada-Salaries-EJI_IE2867.0,4_KO5,19_IL.20,26_IN3.htm"
38,Manulife,Data Scientist,$76K - CA$93K,CA$76K,CA$93K,"/Salary/Manulife-Data-Scientist-Canada-Salaries-EJI_IE9373.0,8_KO9,23_IL.24,30_IN3.htm"
39,Bombardier,Data Scientist - Hourly Intern,$19 - CA$21hourly,CA$19,CA$21,"/Intern-Salary/Bombardier-Canada-Internship-Salary-EI_IE242883.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist"
40,Canada Post,Data Scientist,$90K - CA$105K,CA$90K,CA$105K,"/Salary/Canada-Post-Data-Scientist-Canada-Salaries-EJI_IE8747.0,11_KO12,26_IL.27,33_IN3.htm"
41,Electronic Arts,Data Scientist,$93K - CA$136K,CA$93K,CA$136K,"/Salary/Electronic-Arts-Data-Scientist-Canada-Salaries-EJI_IE1628.0,15_KO16,30_IL.31,37_IN3.htm"
42,Ubisoft,Data Scientist,$72K - CA$124K,CA$72K,CA$124K,"/Salary/Ubisoft-Data-Scientist-Canada-Salaries-EJI_IE12717.0,7_KO8,22_IL.23,29_IN3.htm"
43,CN,Data Scientist,$63K - CA$115K,CA$63K,CA$115K,"/Salary/CN-Data-Scientist-Canada-Salaries-EJI_IE4455.0,2_KO3,17_IL.18,24_IN3.htm"
