,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
0,First Derivatives,Data Scientist,"£20,413/yr",£19K,£23K,"£20,413",No Reports,,
1,Deliveroo,Data Scientist,"£63,766/yr",£38K,£130K,"£63,766",No Reports,,
2,Barclays,Data Scientist,"£53,239/yr",£40K,£77K,"£53,239","£3,201","£3,201",
3,Lloyds Banking Group,Data Scientist,"£59,205/yr",£20K,£105K,"£59,205","£7,993","£7,993","£3,022"
4,THG,Data Scientist,"£41,693/yr",£35K,£51K,"£41,693","£3,604","£3,604",
5,NatWest Group,Data Scientist,"£59,834/yr",£33K,£97K,"£59,834","£2,024","£2,024",
6,Tesco,Data Scientist,"£48,298/yr",£43K,£60K,"£48,298",No Reports,,
7,QuantumBlack,Data Scientist,"£61,944/yr",£51K,£73K,"£61,944","£5,989","£5,989",
8,J Sainsbury,Data Scientist,"£41,392/yr",£32K,£48K,"£41,392","£1,318","£1,318",
9,PwC,Data Scientist,"£44,183/yr",£27K,£55K,"£44,183","£2,032","£2,032",
10,HSBC Holdings,Data Scientist,"£51,403/yr",£40K,£70K,"£51,403","£5,000","£5,000",
11,Vodafone,Data Scientist,"£59,391/yr",£31K,£67K,"£59,391","£5,911","£5,911",
12,Capgemini,Data Scientist,"£56,484/yr",£25K,£63K,"£56,484",No Reports,,
13,IQVIA,Data Scientist,"£57,559/yr",£33K,£77K,"£57,559","£6,592","£6,592",
14,Facebook,Data Scientist,"£84,887/yr",£68K,£101K,"£84,887","£7,686","£7,686","£39,853"
15,Admiral Group,Data Scientist,"£28,035/yr",£19K,£30K,"£28,035","£1,086","£1,086","£2,672"
16,Mango Solutions,Data Scientist,"£42,511/yr",£39K,£50K,"£42,511","£1,005","£1,005",
17,Faculty,Data Scientist,"£60,068/yr",£51K,£65K,"£60,068",No Reports,,
18,Deloitte,Data Scientist,"£39,927/yr",£33K,£42K,"£39,927",£203,£203,
19,BBC,Data Scientist,"£42,156/yr",£34K,£52K,"£42,156",No Reports,,
20,Unilever,Data Scientist,"£39,800/yr",£38K,£60K,"£39,800","£3,592","£3,592",
