,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
0,Ascendum Solutions,Data Scientist,"$91,828/yr",$92K,$92K,"$91,828",No Reports,,
1,Facebook,Data Scientist,"$151,262/yr",$100K,$219K,"$151,262","$15,000","$15,000","$25,395"
2,Expedia Group,Data Scientist,"$121,179/yr",$111K,$143K,"$121,179","$33,004","$33,004","$19,041"
3,"Quora, Inc.",Data Scientist,"$118,827/yr",$110K,$140K,"$118,827",No Reports,,
4,Oracle,Data Scientist,"$140,110/yr",$26K,$192K,"$140,110","$15,489","$15,489","$11,525"
5,IBM,Data Scientist,"$124,166/yr",$61K,$211K,"$124,166","$3,173","$5,087","$30,508"
6,Microsoft,Data Scientist,"$129,804/yr",$13K,$198K,"$129,804","$15,521","$15,451","$50,000"
7,ServiceNow,Data Scientist,"$113,172/yr",$87K,$165K,"$113,172","$21,153","$21,153",
8,Amazon,Data Scientist,"$117,335/yr",$61K,$183K,"$117,335","$25,436","$25,212","$5,000"
9,Booz Allen Hamilton,Data Scientist,"$84,511/yr",$64K,$151K,"$84,246","$5,081","$5,081",
10,Intel Corporation,Data Scientist,"$121,224/yr",$56K,$162K,"$121,224","$11,491","$10,081","$22,333"
11,Google,Data Scientist,"$140,000/yr",$71K,$227K,"$140,000","$25,508","$25,508","$63,861"
12,Wayfair,Data Scientist,"$107,755/yr",$81K,$138K,"$107,755","$10,144","$10,144","$5,322"
13,Uber,Data Scientist,"$132,249/yr",$54K,$173K,"$132,249","$11,287","$11,287","$2,031"
14,Walmart,Data Scientist,"$114,785/yr",$77K,$180K,"$112,234","$17,238","$16,451","$15,305"
15,Airbnb,Data Scientist,"$173,452/yr",$96K,$225K,"$173,452","$15,531","$15,531","$57,978"
16,Adobe,Data Scientist,"$134,678/yr",$91K,$161K,"$134,678","$9,593","$9,593","$41,136"
17,Apple,Data Scientist,"$144,960/yr",$95K,$198K,"$144,960","$10,836","$10,836","$32,912"
18,Cisco Systems,Data Scientist,"$170,309/yr",$76K,$181K,"$170,309","$20,199","$20,199","$1,547"
19,R&D Systems,Data Scientist,"$112,234/yr",$102K,$112K,"$112,234",No Reports,,
20,Western Digital,Data Scientist,"$134,006/yr",$114K,$145K,"$134,006","$26,905","$26,905","$5,182"
21,Nielsen,Data Scientist,"$83,293/yr",$63K,$124K,"$83,293","$6,911","$6,911",
22,Capital One,Data Scientist,"$116,029/yr",$83K,$144K,"$116,029","$10,571","$10,571","$5,583"
23,Ford Motor Company,Data Scientist,"$97,364/yr",$74K,$125K,"$97,364","$5,380","$5,782","$10,000"
24,MZ,Data Scientist,"$107,446/yr",$107K,$107K,"$107,446","$20,694","$20,694",
25,Aetna,Data Scientist,"$117,335/yr",$84K,$135K,"$117,335","$7,117","$7,117","$8,144"
26,C3.ai,Data Scientist,"$113,245/yr",$113K,$153K,"$113,245",$1,$1,$1
27,LinkedIn,Data Scientist,"$139,132/yr",$101K,$158K,"$139,132","$13,521","$13,521","$42,545"
28,PayPal,Data Scientist,"$145,000/yr",$123K,$175K,"$145,000","$14,555","$14,440","$27,352"
29,Fractal,Data Scientist,"$89,240/yr",$80K,$125K,"$89,240","$6,000","$6,000",
30,Uptake,Data Scientist,"$109,261/yr",$74K,$131K,"$109,261","$5,170",,"$5,170"
31,Boston Consulting Group,Data Scientist,"$118,549/yr",$116K,$164K,"$118,549","$23,654","$17,483","$6,137"
32,HP Inc.,Data Scientist,"$122,007/yr",$122K,$122K,"$122,007","$10,169","$10,169",
33,McKinsey & Company,Data Scientist,"$102,031/yr",$85K,$138K,"$102,031","$21,076","$21,076",
34,Visa Inc.,Data Scientist,"$123,631/yr",$104K,$150K,"$123,631","$10,688","$10,688","$20,339"
35,Boeing,Data Scientist,"$123,085/yr",$85K,$145K,"$123,085","$5,860","$5,860",
36,SAP,Data Scientist,"$113,254/yr",$85K,$129K,"$113,254","$10,239","$10,239",
37,J.P. Morgan,Data Scientist,"$122,416/yr",$70K,$210K,"$122,416","$33,499","$33,499",$1
38,Twitter,Data Scientist,"$144,762/yr",$117K,$167K,"$144,762","$14,794","$14,794","$49,657"
39,Facebook,Data Scientist - Monthly Intern,"$7,712/mo",$7K,$9K,,,,
40,Lyft,Data Scientist,"$159,168/yr",$128K,$186K,"$159,168","$10,146","$10,146","$72,521"
41,NVIDIA,Data Scientist,"$188,149/yr",$162K,$188K,"$188,149",No Reports,,
42,PwC,Data Scientist,"$106,888/yr",$83K,$130K,"$106,888","$4,141","$4,141",
43,eBay,Data Scientist,"$129,004/yr",$104K,$165K,"$129,004","$10,864","$10,864","$12,874"
44,KPMG,Data Scientist,"$99,913/yr",$72K,$132K,"$99,913","$5,322","$5,322",
45,UnitedHealth Group,Data Scientist,"$83,313/yr",$71K,$135K,"$83,313","$3,279","$3,279","$1,554"
46,Verizon,Data Scientist,"$118,650/yr",$78K,$164K,"$118,650","$12,669","$12,669","$1,527"
